"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4757","P1",2024-02-17,"Portimonense","Guimaraes",1,1,"D",0,1,"A",4.48,3.7,1.86,"0-1","1-1",10,6,10,2,3,5,0,0,9,6,10,17,2,15,27,"9-6","Y","N","N",8,0,2,80,1500,160,1200,30,2400
"4769","P1",2024-02-25,"Benfica","Portimonense",4,0,"H",0,0,"D",1.11,11.59,23.04,"0-0","4-0",19,13,10,2,0,1,0,0,8,1,13,6,4,9,19,"8-1","Y","Y","Y",1,0,4,10,0,40,90,36,360
"4778","P1",2024-03-03,"Portimonense","Vizela",0,0,"D",0,0,"D",2.73,3.29,2.81,"0-0","0-0",11,4,13,3,3,1,1,0,1,8,18,10,0,9,28,"1-8","N","N","N",4,1,0,65,550,0,585,0,0
"4782","P1",2024-03-08,"Portimonense","Porto",0,3,"A",0,1,"A",12.41,6.58,1.24,"0-1","0-3",7,2,16,6,2,0,0,0,1,13,16,11,3,14,27,"1-13","Y","Y","N",2,0,3,20,0,60,280,42,840
"4791","P1",2024-03-15,"Estoril","Portimonense",1,0,"H",0,0,"D",1.64,4.18,5.54,"0-0","1-0",9,3,15,2,1,2,0,0,2,7,15,10,1,9,25,"2-7","N","N","N",3,0,1,30,200,30,270,9,270
"4808","P1",2024-04-01,"Portimonense","Sp Braga",3,5,"A",1,2,"A",6.87,4.62,1.47,"1-2","3-5",13,5,15,9,0,1,0,0,4,6,11,6,8,10,17,"4-6","Y","Y","Y",1,0,8,10,0,80,100,80,800
"4755","P1",2024-02-16,"Famalicao","Rio Ave",2,1,"H",1,1,"D",2.16,3.12,4.08,"1-1","2-1",15,6,9,4,4,6,0,0,4,7,18,20,3,11,38,"4-7","Y","Y","N",10,0,3,100,2400,300,1100,33,3300
"4764","P1",2024-02-23,"Arouca","Famalicao",3,2,"H",2,1,"H",2.34,3.35,3.31,"2-1","3-2",14,4,11,8,2,5,0,1,3,4,20,14,5,7,34,"3-4","Y","Y","Y",7,1,5,95,1500,475,665,35,3325
"4781","P1",2024-03-04,"Famalicao","Boavista",1,1,"D",1,0,"H",1.98,3.51,4.06,"1-0","1-1",7,1,5,3,2,2,0,0,9,5,14,19,2,14,33,"9-5","Y","N","N",4,0,2,40,400,80,560,28,1120
"4787","P1",2024-03-09,"Guimaraes","Famalicao",1,0,"H",1,0,"H",1.87,3.63,4.59,"1-0","1-0",12,6,13,0,1,3,0,0,10,4,12,18,1,14,30,"10-4","N","N","N",4,0,1,40,300,40,560,14,560
"4792","P1",2024-03-16,"Famalicao","Estrela",0,0,"D",0,0,"D",2.05,3.39,4.06,"0-0","0-0",12,3,9,2,1,4,0,0,4,7,15,19,0,11,34,"4-7","N","N","N",5,0,0,50,400,0,550,0,0
"4800","P1",2024-03-29,"Gil Vicente","Famalicao",1,2,"A",0,1,"A",2.46,3.06,3.33,"0-1","1-2",10,3,12,3,1,3,0,0,2,5,8,18,3,7,26,"2-5","Y","Y","N",4,0,3,40,300,120,280,21,840
"13","P1",2024-03-29,"Gil Vicente","Famalicao",1,2,"A",0,1,"A",2.46,3.06,3.33,"0-1","1-2",10,3,12,3,1,3,0,0,2,5,8,18,3,7,26,"2-5","Y","Y","N",4,0,2.66666666666667,48.3333333333333,629.166666666667,115.416666666667,520,27.3333333333333,1151.25
