"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6506","SC1",2024-03-09,"Dundee United","Arbroath",4,0,"H",2,0,"H",1.15,8.38,15.91,"2-0","4-0",16,12,2,1,1,2,0,1,10,1,12,11,4,11,23,"10-1","Y","Y","Y",3,1,4,55,450,220,605,44,2420
"6511","SC1",2024-03-15,"Dunfermline","Dundee United",3,1,"H",2,0,"H",5.54,3.73,1.67,"2-0","3-1",11,4,14,3,1,2,0,0,4,4,8,10,4,8,18,"4-4","Y","Y","Y",3,0,4,30,200,120,240,32,960
"6518","SC1",2024-03-23,"Dundee United","Inverness C",1,1,"D",0,1,"A",1.46,4.41,7.19,"0-1","1-1",18,7,7,3,1,3,0,0,7,5,8,7,2,12,15,"7-5","Y","N","N",4,0,2,40,300,80,480,24,960
"6522","SC1",2024-03-30,"Dundee United","Raith Rvs",2,0,"H",1,0,"H",1.82,3.66,4.36,"1-0","2-0",10,5,5,1,6,5,0,0,11,1,14,14,2,12,28,"11-1","Y","N","N",11,0,2,110,3000,220,1320,24,2640
"6529","SC1",2024-04-06,"Queens Park","Dundee United",0,5,"A",0,1,"A",5.53,4.25,1.56,"0-1","0-5",4,2,20,10,2,1,0,0,3,12,16,5,5,15,21,"3-12","Y","Y","Y",3,0,5,30,200,150,450,75,2250
"6533","SC1",2024-04-12,"Morton","Dundee United",1,4,"A",0,2,"A",4.85,3.65,1.74,"0-2","1-4",11,3,14,6,3,1,0,0,4,7,7,8,5,11,15,"4-7","Y","Y","Y",4,0,5,40,300,200,440,55,2200
"6513","SC1",2024-03-16,"Inverness C","Ayr",1,2,"A",1,1,"D",2.26,3.39,3.26,"1-1","1-2",8,2,5,3,2,1,0,0,6,4,11,17,3,10,28,"6-4","Y","Y","N",3,0,3,30,200,90,300,30,900
"6517","SC1",2024-03-23,"Ayr","Queens Park",1,2,"A",0,1,"A",2.23,3.66,3.09,"0-1","1-2",8,3,12,7,0,1,0,0,6,13,10,8,3,19,18,"6-13","Y","Y","N",1,0,3,10,0,30,190,57,570
"6520","SC1",2024-03-29,"Ayr","Airdrie Utd",2,1,"H",0,1,"A",2.74,3.17,2.71,"0-1","2-1",12,4,9,5,0,2,0,0,7,7,11,14,3,14,25,"7-7","Y","Y","N",2,0,3,20,0,60,280,42,840
"6530","SC1",2024-04-06,"Raith Rvs","Ayr",2,1,"H",1,0,"H",1.79,3.74,4.39,"1-0","2-1",5,2,3,2,2,2,0,0,2,2,10,17,3,4,27,"2-2","Y","Y","N",4,0,3,40,400,120,160,12,480
"6531","SC1",2024-04-09,"Ayr","Morton",1,1,"D",1,1,"D",3.01,3.08,2.55,"1-1","1-1",10,5,5,3,2,3,0,0,7,1,12,19,2,8,31,"7-1","Y","N","N",5,0,2,50,600,100,400,16,800
"6535","SC1",2024-04-13,"Ayr","Arbroath",5,0,"H",3,0,"H",1.43,4.64,6.98,"3-0","5-0",17,8,2,2,0,2,0,0,5,2,12,13,5,7,25,"5-2","Y","Y","Y",2,0,5,20,0,100,140,35,700
"13","SC1",2024-04-13,"Ayr","Arbroath",5,0,"H",3,0,"H",1.43,4.64,6.98,"3-0","5-0",17,8,2,2,0,2,0,0,5,2,12,13,5,7,25,"5-2","Y","Y","Y",2,0,3.41666666666667,39.5833333333333,470.833333333333,124.166666666667,417.083333333333,37.1666666666667,1310
