"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5925","SC1",2023-02-18,"Inverness C","Hamilton",0,3,"A",0,0,"D",1.92,3.73,3.88,"0-0","0-3",8,4,9,6,2,2,0,0,6,5,8,6,3,11,14,"6-5","Y","Y","N",4,0,3,40,400,120,440,33,1320
"5926","SC1",2023-02-21,"Hamilton","Inverness C",2,1,"H",1,1,"D",2.54,3.33,2.85,"1-1","2-1",11,6,20,2,1,2,0,1,5,10,7,8,3,15,15,"5-10","Y","Y","N",3,1,3,55,450,165,825,45,2475
"5930","SC1",2023-02-25,"Hamilton","Queens Park",1,4,"A",0,1,"A",3.3,3.72,2.12,"0-1","1-4",9,5,14,8,1,0,0,0,6,4,9,10,5,10,19,"6-4","Y","Y","Y",1,0,5,10,0,50,100,50,500
"5933","SC1",2023-03-03,"Hamilton","Arbroath",0,0,"D",0,0,"D",3.22,3.34,2.3,"0-0","0-0",10,4,10,4,3,3,0,1,4,5,14,16,0,9,30,"4-5","N","N","N",6,1,0,85,1650,0,765,0,0
"5942","SC1",2023-03-18,"Hamilton","Ayr",0,2,"A",0,2,"A",3.43,3.54,2.13,"0-2","0-2",3,1,12,4,0,2,0,0,3,8,9,8,2,11,17,"3-8","Y","N","N",2,0,2,20,0,40,220,22,440
"5952","SC1",2023-04-01,"Dundee","Hamilton",7,0,"H",4,0,"H",1.37,5.07,8.08,"4-0","7-0",18,9,5,1,0,1,0,0,5,1,9,10,7,6,19,"5-1","Y","Y","Y",1,0,7,10,0,70,60,42,420
"5931","SC1",2023-02-25,"Morton","Cove Rangers",2,1,"H",0,1,"A",1.69,4.06,4.75,"0-1","2-1",13,4,8,2,3,2,0,0,8,3,13,14,3,11,27,"8-3","Y","Y","N",5,0,3,50,600,150,550,33,1650
"5935","SC1",2023-03-04,"Cove Rangers","Dundee",0,2,"A",0,1,"A",5.18,4.17,1.62,"0-1","0-2",3,0,9,5,1,2,0,0,3,4,11,12,2,7,23,"3-4","Y","N","N",3,0,2,30,200,60,210,14,420
"5939","SC1",2023-03-10,"Queens Park","Cove Rangers",1,0,"H",0,0,"D",1.51,4.72,5.73,"0-0","1-0",13,6,8,3,2,2,0,0,11,1,5,8,1,12,13,"11-1","N","N","N",4,0,1,40,400,40,480,12,480
"5945","SC1",2023-03-18,"Raith Rvs","Cove Rangers",6,1,"H",2,0,"H",1.76,3.86,4.54,"2-0","6-1",13,6,5,3,0,4,0,0,9,6,8,10,7,15,18,"9-6","Y","Y","Y",4,0,7,40,0,280,600,105,4200
"5947","SC1",2023-03-24,"Ayr","Cove Rangers",3,0,"H",2,0,"H",1.43,4.78,7.16,"2-0","3-0",9,5,7,2,1,1,0,0,1,5,13,10,3,6,23,"1-5","Y","Y","N",2,0,3,20,100,60,120,18,360
"5951","SC1",2023-04-01,"Cove Rangers","Partick",0,5,"A",0,2,"A",4.45,3.82,1.78,"0-2","0-5",8,3,17,4,1,0,0,0,9,3,7,9,5,12,16,"9-3","Y","Y","Y",1,0,5,10,0,50,120,60,600
"13","SC1",2023-04-01,"Cove Rangers","Partick",0,5,"A",0,2,"A",4.45,3.82,1.78,"0-2","0-5",8,3,17,4,1,0,0,0,9,3,7,9,5,12,16,"9-3","Y","Y","Y",1,0,3.41666666666667,34.1666666666667,316.666666666667,90.4166666666667,374.166666666667,36.1666666666667,1072.08333333333
