"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1552","SC1",2024-08-24,"Hamilton","Dunfermline",1,0,"H",1,0,"H",2.15,3.44,3.21,"1-0","1-0",5,2,5,1,2,2,0,0,5,3,20,6,1,8,26,"5-3","N","N","N",4,0,1,40,400,40,320,8,320
"1555","SC1",2024-08-31,"Hamilton","Airdrie Utd",2,2,"D",0,0,"D",2.28,3.56,2.98,"0-0","2-2",11,6,13,4,1,2,0,0,6,3,9,8,4,9,17,"6-3","Y","Y","Y",3,0,4,30,200,120,270,36,1080
"1562","SC1",2024-09-14,"Livingston","Hamilton",3,0,"H",0,0,"D",1.73,3.71,4.44,"0-0","3-0",13,4,1,0,4,4,0,0,5,3,12,18,3,8,30,"5-3","Y","Y","N",8,0,3,80,1600,240,640,24,1920
"1567","SC1",2024-09-21,"Raith Rvs","Hamilton",3,3,"D",2,1,"H",1.98,3.51,3.6,"2-1","3-3",11,8,5,4,1,2,0,0,5,2,7,15,6,7,22,"5-2","Y","Y","Y",3,0,6,30,200,180,210,42,1260
"1570","SC1",2024-09-28,"Hamilton","Partick",1,0,"H",0,0,"D",2.69,3.58,2.41,"0-0","1-0",8,3,9,4,1,4,0,0,1,12,9,7,1,13,16,"1-12","N","N","N",5,0,1,50,400,50,650,13,650
"1577","SC1",2024-10-05,"Queens Park","Hamilton",1,0,"H",0,0,"D",2.01,3.6,3.43,"0-0","1-0",17,6,11,3,1,1,0,0,3,2,9,8,1,5,17,"3-2","N","N","N",2,0,1,20,100,20,100,5,100
"1545","SC1",2024-08-10,"Dunfermline","Falkirk",0,2,"A",0,1,"A",3.75,3.69,1.88,"0-1","0-2",8,2,8,4,1,1,0,0,4,5,9,10,2,9,19,"4-5","Y","N","N",2,0,2,20,100,40,180,18,360
"1551","SC1",2024-08-24,"Falkirk","Partick",2,1,"H",0,0,"D",1.76,3.93,4.02,"0-0","2-1",21,7,7,3,2,3,0,1,13,0,9,9,3,13,18,"13-0","Y","Y","N",5,1,3,75,1100,225,975,39,2925
"1556","SC1",2024-08-31,"Morton","Falkirk",2,3,"A",2,2,"D",4.26,3.59,1.83,"2-2","2-3",11,4,10,6,4,3,0,0,2,9,13,18,5,11,31,"2-9","Y","Y","Y",7,0,5,70,1200,350,770,55,3850
"1560","SC1",2024-09-14,"Airdrie Utd","Falkirk",0,2,"A",0,0,"D",4.63,3.57,1.73,"0-0","0-2",11,4,22,7,3,4,0,0,3,14,9,11,2,17,20,"3-14","Y","N","N",7,0,2,70,1200,140,1190,34,2380
"1572","SC1",2024-09-28,"Raith Rvs","Falkirk",1,0,"H",1,0,"H",3.95,3.78,1.81,"1-0","1-0",4,1,4,0,2,4,0,0,2,4,12,13,1,6,25,"2-4","N","N","N",6,0,1,60,800,60,360,6,360
"1574","SC1",2024-10-05,"Falkirk","Ayr",2,0,"H",1,0,"H",2.05,3.33,3.59,"1-0","2-0",13,5,6,4,0,0,0,0,6,2,13,14,2,8,27,"6-2","Y","N","N",0,0,2,0,0,0,0,16,0
"13","SC1",2024-10-05,"Falkirk","Ayr",2,0,"H",1,0,"H",2.05,3.33,3.59,"1-0","2-0",13,5,6,4,0,0,0,0,6,2,13,14,2,8,27,"6-2","Y","N","N",0,0,2.58333333333333,45.4166666666667,608.333333333333,122.083333333333,472.083333333333,24.6666666666667,1267.08333333333
