"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6122","SC1",2024-02-27,"Inverness C","Dunfermline",0,0,"D",0,0,"D",2.19,3.39,3.41,"0-0","0-0",6,1,6,0,2,2,0,0,5,8,8,15,0,13,23,"5-8","N","N","N",4,0,0,40,400,0,520,0,0
"6128","SC1",2024-03-02,"Morton","Inverness C",0,2,"A",0,2,"A",1.76,3.71,4.71,"0-2","0-2",7,2,7,4,4,4,0,0,6,1,16,17,2,7,33,"6-1","Y","N","N",8,0,2,80,1600,160,560,14,1120
"6133","SC1",2024-03-09,"Inverness C","Airdrie Utd",0,0,"D",0,0,"D",2.2,3.35,3.43,"0-0","0-0",8,2,4,2,1,4,0,0,6,4,8,15,0,10,23,"6-4","N","N","N",5,0,0,50,400,0,500,0,0
"6139","SC1",2024-03-16,"Inverness C","Ayr",1,2,"A",1,1,"D",2.26,3.39,3.26,"1-1","1-2",8,2,5,3,2,1,0,0,6,4,11,17,3,10,28,"6-4","Y","Y","N",3,0,3,30,200,90,300,30,900
"6144","SC1",2024-03-23,"Dundee United","Inverness C",1,1,"D",0,1,"A",1.46,4.41,7.19,"0-1","1-1",18,7,7,3,1,3,0,0,7,5,8,7,2,12,15,"7-5","Y","N","N",4,0,2,40,300,80,480,24,960
"6150","SC1",2024-03-30,"Partick","Inverness C",1,0,"H",1,0,"H",1.84,3.68,4.23,"1-0","1-0",10,5,11,4,1,0,0,1,4,4,18,10,1,8,28,"4-4","N","N","N",1,1,1,35,250,35,280,8,280
"6125","SC1",2024-03-01,"Arbroath","Raith Rvs",3,2,"H",0,1,"A",5.89,4.15,1.56,"0-1","3-2",9,3,17,7,0,1,0,0,1,9,13,13,5,10,26,"1-9","Y","Y","Y",1,0,5,10,0,50,100,50,500
"6132","SC1",2024-03-09,"Dundee United","Arbroath",4,0,"H",2,0,"H",1.15,8.38,15.91,"2-0","4-0",16,12,2,1,1,2,0,1,10,1,12,11,4,11,23,"10-1","Y","Y","Y",3,1,4,55,450,220,605,44,2420
"6138","SC1",2024-03-16,"Airdrie Utd","Arbroath",5,2,"H",2,1,"H",1.56,4.19,5.89,"2-1","5-2",14,9,5,2,2,4,0,0,11,5,10,14,7,16,24,"11-5","Y","Y","Y",6,0,7,60,800,420,960,112,6720
"6142","SC1",2024-03-23,"Arbroath","Partick",0,1,"A",0,1,"A",6.03,4.7,1.49,"0-1","0-1",5,2,9,4,0,1,0,0,5,4,8,9,1,9,17,"5-4","N","N","N",1,0,1,10,0,10,90,9,90
"6147","SC1",2024-03-30,"Arbroath","Dunfermline",2,3,"A",0,3,"A",4.46,3.67,1.79,"0-3","2-3",9,6,12,6,0,1,0,0,7,8,11,11,5,15,22,"7-8","Y","Y","Y",1,0,5,10,0,50,150,75,750
"6151","SC1",2024-04-02,"Arbroath","Airdrie Utd",1,2,"A",0,0,"D",4.57,3.74,1.76,"0-0","1-2",3,3,17,9,2,2,0,0,5,6,3,18,3,11,21,"5-6","Y","Y","N",4,0,3,40,400,120,440,33,1320
"13","SC1",2024-04-02,"Arbroath","Airdrie Utd",1,2,"A",0,0,"D",4.57,3.74,1.76,"0-0","1-2",3,3,17,9,2,2,0,0,5,6,3,18,3,11,21,"5-6","Y","Y","N",4,0,2.75,38.3333333333333,400,102.916666666667,415.416666666667,33.25,1255
