"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1764","SC1",2023-09-02,"Morton","Partick",1,4,"A",1,1,"D",2.56,3.61,2.66,"1-1","1-4",15,8,13,6,1,0,0,1,2,7,6,6,5,9,12,"2-7","Y","Y","Y",1,1,5,35,250,175,315,45,1575
"1768","SC1",2023-09-16,"Dundee United","Morton",1,1,"D",1,0,"H",1.67,4.02,4.94,"1-0","1-1",9,1,7,1,1,3,1,0,5,4,15,12,2,9,27,"5-4","Y","N","N",4,1,2,65,1050,130,585,18,1170
"1773","SC1",2023-09-23,"Dunfermline","Morton",3,1,"H",2,0,"H",2.07,3.48,3.65,"2-0","3-1",10,5,9,2,0,3,0,0,10,4,8,14,4,14,22,"10-4","Y","Y","Y",3,0,4,30,0,120,420,56,1680
"1779","SC1",2023-09-30,"Morton","Airdrie Utd",0,1,"A",0,1,"A",2.16,3.81,3.13,"0-1","0-1",13,1,8,2,2,3,0,0,6,3,12,13,1,9,25,"6-3","N","N","N",5,0,1,50,600,50,450,9,450
"1783","SC1",2023-10-07,"Queens Park","Morton",0,0,"D",0,0,"D",2.3,3.67,2.96,"0-0","0-0",11,4,7,2,1,3,0,0,10,3,10,8,0,13,18,"10-3","N","N","N",4,0,0,40,300,0,520,0,0
"1765","SC1",2023-09-02,"Raith Rvs","Queens Park",3,2,"H",1,0,"H",2.14,3.68,3.28,"1-0","3-2",8,7,4,2,1,0,0,1,8,1,5,10,5,9,15,"8-1","Y","Y","Y",1,1,5,35,250,175,315,45,1575
"1770","SC1",2023-09-16,"Raith Rvs","Inverness C",1,0,"H",0,0,"D",1.88,3.69,3.95,"0-0","1-0",7,2,8,5,2,2,0,0,3,7,9,15,1,10,24,"3-7","N","N","N",4,0,1,40,400,40,400,10,400
"1772","SC1",2023-09-23,"Airdrie Utd","Raith Rvs",1,0,"H",0,0,"D",2.41,3.57,2.86,"0-0","1-0",7,3,11,6,1,4,0,0,2,1,8,9,1,3,17,"2-1","N","N","N",5,0,1,50,400,50,150,3,150
"1777","SC1",2023-09-30,"Ayr","Raith Rvs",1,2,"A",0,2,"A",2.78,3.45,2.5,"0-2","1-2",13,4,8,3,2,2,0,0,8,4,10,6,3,12,16,"8-4","Y","Y","N",4,0,3,40,400,120,480,36,1440
"1784","SC1",2023-10-07,"Raith Rvs","Dundee United",1,1,"D",1,0,"H",3.01,3.56,2.32,"1-0","1-1",7,6,7,4,3,4,0,0,3,3,15,13,2,6,28,"3-3","Y","N","N",7,0,2,70,1200,140,420,12,840
"11","SC1",2023-10-07,"Raith Rvs","Dundee United",1,1,"D",1,0,"H",3.01,3.56,2.32,"1-0","1-1",7,6,7,4,3,4,0,0,3,3,15,13,2,6,28,"3-3","Y","N","N",7,0,2.4,45.5,485,100,405.5,23.4,928
