"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5399","SC1",2024-01-13,"Morton","Partick",1,1,"D",1,0,"H",2.56,3.8,2.57,"1-0","1-1",12,5,9,4,5,6,0,0,3,6,18,13,2,9,31,"3-6","Y","N","N",11,0,2,110,3000,220,990,18,1980
"5402","SC1",2024-01-27,"Airdrie Utd","Partick",1,1,"D",1,1,"D",2.47,3.48,2.85,"1-1","1-1",6,1,4,3,2,3,0,0,3,5,13,6,2,8,19,"3-5","Y","N","N",5,0,2,50,600,100,400,16,800
"5414","SC1",2024-02-17,"Inverness C","Partick",3,3,"D",1,0,"H",2.84,3.39,2.52,"1-0","3-3",8,4,7,4,1,2,1,0,6,8,7,12,6,14,19,"6-8","Y","Y","Y",3,1,6,55,700,330,770,84,4620
"5416","SC1",2024-02-23,"Partick","Dunfermline",1,3,"A",1,1,"D",1.65,3.99,5.2,"1-1","1-3",7,4,15,7,2,1,0,0,4,9,14,7,4,13,21,"4-9","Y","Y","Y",3,0,4,30,200,120,390,52,1560
"5421","SC1",2024-02-27,"Ayr","Partick",4,3,"H",3,1,"H",2.81,3.44,2.52,"3-1","4-3",8,5,13,6,2,0,0,0,4,11,12,8,7,15,20,"4-11","Y","Y","Y",2,0,7,20,0,140,300,105,2100
"5430","SC1",2024-03-02,"Partick","Dundee United",1,1,"D",1,0,"H",4.03,3.64,1.91,"1-0","1-1",5,1,8,3,2,3,0,0,6,5,10,14,2,11,24,"6-5","Y","N","N",5,0,2,50,600,100,550,22,1100
"5400","SC1",2024-01-13,"Raith Rvs","Queens Park",1,2,"A",1,1,"D",1.49,4.71,6.01,"1-1","1-2",11,6,8,7,4,3,0,0,9,2,9,11,3,11,20,"9-2","Y","Y","N",7,0,3,70,1200,210,770,33,2310
"5406","SC1",2024-01-27,"Raith Rvs","Inverness C",2,3,"A",1,3,"A",1.76,3.91,4.46,"1-3","2-3",8,3,7,4,0,2,0,0,6,1,11,11,5,7,22,"6-1","Y","Y","Y",2,0,5,20,0,100,140,35,700
"5411","SC1",2024-02-16,"Raith Rvs","Dundee United",2,1,"H",1,1,"D",3.57,3.57,2.06,"1-1","2-1",6,5,13,5,2,3,0,0,4,7,4,11,3,11,15,"4-7","Y","Y","N",5,0,3,50,600,150,550,33,1650
"5418","SC1",2024-02-24,"Ayr","Raith Rvs",1,2,"A",1,2,"A",3.15,3.39,2.31,"1-2","1-2",11,3,6,5,2,1,0,0,3,6,8,7,3,9,15,"3-6","Y","Y","N",3,0,3,30,200,90,270,27,810
"5425","SC1",2024-02-27,"Raith Rvs","Morton",0,0,"D",0,0,"D",2.1,3.68,3.37,"0-0","0-0",3,1,10,4,3,3,0,0,4,7,13,12,0,11,25,"4-7","N","N","N",6,0,0,60,900,0,660,0,0
"5426","SC1",2024-03-01,"Arbroath","Raith Rvs",3,2,"H",0,1,"A",5.89,4.15,1.56,"0-1","3-2",9,3,17,7,0,1,0,0,1,9,13,13,5,10,26,"1-9","Y","Y","Y",1,0,5,10,0,50,100,50,500
"13","SC1",2024-03-01,"Arbroath","Raith Rvs",3,2,"H",0,1,"A",5.89,4.15,1.56,"0-1","3-2",9,3,17,7,0,1,0,0,1,9,13,13,5,10,26,"1-9","Y","Y","Y",1,0,3.5,46.25,666.666666666667,134.166666666667,490.833333333333,39.5833333333333,1510.83333333333
