"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6794","SC1",2023-04-04,"Raith Rvs","Hamilton",1,2,"A",0,0,"D",1.51,4.15,6.71,"0-0","1-2",5,0,2,2,3,2,0,1,5,1,11,8,3,6,19,"5-1","Y","Y","N",5,1,3,75,1350,225,450,18,1350
"6799","SC1",2023-04-08,"Inverness C","Raith Rvs",2,0,"H",2,0,"H",2.82,3.3,2.59,"2-0","2-0",5,3,5,2,0,0,0,0,5,3,6,5,2,8,11,"5-3","Y","N","N",0,0,2,0,0,0,0,16,0
"6800","SC1",2023-04-11,"Dundee","Raith Rvs",3,1,"H",1,0,"H",1.42,4.42,8.34,"1-0","3-1",9,4,5,3,2,4,0,0,3,4,6,8,4,7,14,"3-4","Y","Y","Y",6,0,4,60,800,240,420,28,1680
"6807","SC1",2023-04-15,"Raith Rvs","Arbroath",1,1,"D",1,0,"H",2.45,3.1,3.19,"1-0","1-1",10,5,4,2,2,2,0,0,7,2,13,11,2,9,24,"7-2","Y","N","N",4,0,2,40,400,80,360,18,720
"6813","SC1",2023-04-22,"Morton","Raith Rvs",1,0,"H",1,0,"H",2.14,3.32,3.62,"1-0","1-0",9,5,11,0,3,0,0,2,2,2,14,12,1,4,26,"2-2","N","N","N",3,2,1,80,1500,80,320,4,320
"6815","SC1",2023-04-29,"Ayr","Raith Rvs",1,0,"H",0,0,"D",1.67,4.16,4.78,"0-0","1-0",12,5,7,0,0,2,0,0,7,8,7,11,1,15,18,"7-8","N","N","N",2,0,1,20,0,20,300,15,300
"6787","SC1",2023-03-24,"Inverness C","Partick",1,0,"H",0,0,"D",3.04,3.31,2.42,"0-0","1-0",9,5,11,6,3,1,1,0,2,12,15,6,1,14,21,"2-12","N","N","N",4,1,1,65,550,65,910,14,910
"6790","SC1",2023-04-01,"Cove Rangers","Partick",0,5,"A",0,2,"A",4.45,3.82,1.78,"0-2","0-5",8,3,17,4,1,0,0,0,9,3,7,9,5,12,16,"9-3","Y","Y","Y",1,0,5,10,0,50,120,60,600
"6795","SC1",2023-04-07,"Partick","Queens Park",4,0,"H",0,0,"D",1.96,3.54,3.93,"0-0","4-0",8,6,6,4,1,0,0,0,6,5,13,15,4,11,28,"6-5","Y","Y","Y",1,0,4,10,0,40,110,44,440
"6806","SC1",2023-04-15,"Partick","Ayr",1,1,"D",1,0,"H",2.08,3.68,3.43,"1-0","1-1",7,4,10,6,2,1,0,0,2,6,9,7,2,8,16,"2-6","Y","N","N",3,0,2,30,200,60,240,16,480
"6811","SC1",2023-04-22,"Hamilton","Partick",2,2,"D",1,1,"D",4.69,3.7,1.77,"1-1","2-2",11,3,19,8,5,5,0,0,6,10,15,10,4,16,25,"6-10","Y","Y","Y",10,0,4,100,2500,400,1600,64,6400
"6817","SC1",2023-04-29,"Partick","Arbroath",2,0,"H",1,0,"H",1.64,3.92,5.43,"1-0","2-0",9,5,2,1,1,2,0,0,4,11,6,9,2,15,15,"4-11","Y","N","N",3,0,2,30,200,60,450,30,900
"13","SC1",2023-04-29,"Partick","Arbroath",2,0,"H",1,0,"H",1.64,3.92,5.43,"1-0","2-0",9,5,2,1,1,2,0,0,4,11,6,9,2,15,15,"4-11","Y","N","N",3,0,2.58333333333333,43.3333333333333,625,110,440,27.25,1175
