"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"7088","SC2",2024-03-23,"Alloa","Queen of Sth",0,2,"A",0,1,"A",1.87,3.9,3.65,"0-1","0-2",6,3,11,7,0,0,0,0,7,7,10,10,2,14,20,"7-7","Y","N","N",0,0,2,0,0,0,0,28,0
"7093","SC2",2024-03-30,"Alloa","Annan Athletic",1,1,"D",1,1,"D",1.71,4.43,3.91,"1-1","1-1",12,5,7,3,2,0,0,0,2,3,11,9,2,5,20,"2-3","Y","N","N",2,0,2,20,0,40,100,10,200
"7100","SC2",2024-04-06,"Stirling","Alloa",1,5,"A",0,3,"A",2.58,3.42,2.6,"0-3","1-5",12,4,9,7,1,2,0,0,6,2,5,11,6,8,16,"6-2","Y","Y","Y",3,0,6,30,200,180,240,48,1440
"7102","SC2",2024-04-13,"Alloa","Montrose",0,0,"D",0,0,"D",1.96,3.66,3.54,"0-0","0-0",5,2,7,5,1,1,0,0,6,6,3,14,0,12,17,"6-6","N","N","N",2,0,0,20,100,0,240,0,0
"7112","SC2",2024-04-20,"Cove Rangers","Alloa",2,3,"A",0,1,"A",2.77,3.77,2.29,"0-1","2-3",11,9,9,6,4,1,0,0,7,8,7,5,5,15,12,"7-8","Y","Y","Y",5,0,5,50,400,250,750,75,3750
"7113","SC2",2024-04-27,"Alloa","Hamilton",0,1,"A",0,1,"A",3.79,3.77,1.87,"0-1","0-1",9,4,8,5,1,2,0,0,4,4,11,12,1,8,23,"4-4","N","N","N",3,0,1,30,200,30,240,8,240
"7090","SC2",2024-03-23,"Cove Rangers","Hamilton",1,3,"A",0,1,"A",4.17,3.67,1.81,"0-1","1-3",12,5,14,5,0,1,0,0,7,6,4,9,4,13,13,"7-6","Y","Y","Y",1,0,4,10,0,40,130,52,520
"7095","SC2",2024-03-30,"Hamilton","Queen of Sth",0,0,"D",0,0,"D",1.45,5.02,5.79,"0-0","0-0",8,3,9,5,1,1,1,0,3,2,11,8,0,5,19,"3-2","N","N","N",2,1,0,45,350,0,225,0,0
"7098","SC2",2024-04-06,"Annan Athletic","Hamilton",1,3,"A",0,1,"A",4.73,4.39,1.6,"0-1","1-3",13,7,9,4,2,3,0,0,5,5,8,16,4,10,24,"5-5","Y","Y","Y",5,0,4,50,600,200,500,40,2000
"7106","SC2",2024-04-13,"Hamilton","Falkirk",0,2,"A",0,0,"D",3.49,3.61,2,"0-0","0-2",7,2,12,7,2,2,0,0,3,9,18,11,2,12,29,"3-9","Y","N","N",4,0,2,40,400,80,480,24,960
"7110","SC2",2024-04-20,"Montrose","Hamilton",1,2,"A",1,1,"D",3.66,3.92,1.86,"1-1","1-2",8,2,15,6,0,0,0,0,9,3,11,8,3,12,19,"9-3","Y","Y","N",0,0,3,0,0,0,0,36,0
"71131","SC2",2024-04-27,"Alloa","Hamilton",0,1,"A",0,1,"A",3.79,3.77,1.87,"0-1","0-1",9,4,8,5,1,2,0,0,4,4,11,12,1,8,23,"4-4","N","N","N",3,0,1,30,200,30,240,8,240
"13","SC2",2024-04-27,"Alloa","Hamilton",0,1,"A",0,1,"A",3.79,3.77,1.87,"0-1","0-1",9,4,8,5,1,2,0,0,4,4,11,12,1,8,23,"4-4","N","N","N",3,0,2.5,27.0833333333333,204.166666666667,70.8333333333333,262.083333333333,27.4166666666667,779.166666666667
