"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1805","SC2",2023-09-02,"Alloa","Cove Rangers",1,0,"H",1,0,"H",2.64,3.33,2.6,"1-0","1-0",10,5,9,3,3,1,0,0,5,3,10,10,1,8,20,"5-3","N","N","N",4,0,1,40,300,40,320,8,320
"1813","SC2",2023-09-16,"Hamilton","Alloa",2,1,"H",0,0,"D",1.56,4.2,5.4,"0-0","2-1",15,8,9,4,2,2,0,0,11,3,9,13,3,14,22,"11-3","Y","Y","N",4,0,3,40,400,120,560,42,1680
"1815","SC2",2023-09-23,"Annan Athletic","Alloa",1,1,"D",0,1,"A",2.62,3.45,2.55,"0-1","1-1",15,8,8,2,2,1,0,0,7,0,9,15,2,7,24,"7-0","Y","N","N",3,0,2,30,200,60,210,14,420
"1821","SC2",2023-09-30,"Alloa","Edinburgh City",1,1,"D",0,0,"D",1.67,3.94,4.45,"0-0","1-1",14,6,6,3,2,2,0,0,7,5,11,8,2,12,19,"7-5","Y","N","N",4,0,2,40,400,80,480,24,960
"1827","SC2",2023-10-07,"Montrose","Alloa",2,1,"H",1,0,"H",2.05,3.58,3.35,"1-0","2-1",7,5,12,5,1,3,0,0,4,7,11,16,3,11,27,"4-7","Y","Y","N",4,0,3,40,300,120,440,33,1320
"1808","SC2",2023-09-02,"Queen of Sth","Montrose",2,3,"A",0,2,"A",1.79,3.9,3.99,"0-2","2-3",10,6,6,4,1,1,0,0,4,5,6,8,5,9,14,"4-5","Y","Y","Y",2,0,5,20,100,100,180,45,900
"1812","SC2",2023-09-16,"Falkirk","Queen of Sth",1,0,"H",0,0,"D",1.56,3.88,4.62,"0-0","1-0",11,4,4,0,0,2,0,0,5,1,9,9,1,6,18,"5-1","N","N","N",2,0,1,20,0,20,120,6,120
"1818","SC2",2023-09-23,"Queen of Sth","Hamilton",1,2,"A",1,1,"D",3.31,3.54,2.09,"1-1","1-2",7,1,16,8,5,1,0,0,1,6,21,11,3,7,32,"1-6","Y","Y","N",6,0,3,60,500,180,420,21,1260
"1823","SC2",2023-09-30,"Kelty Hearts","Queen of Sth",3,1,"H",1,1,"D",2.77,3.59,2.35,"1-1","3-1",8,3,14,4,3,2,0,0,5,6,18,14,4,11,32,"5-6","Y","Y","Y",5,0,4,50,600,200,550,44,2200
"1828","SC2",2023-10-07,"Queen of Sth","Stirling",0,1,"A",0,0,"D",1.93,3.77,3.55,"0-0","0-1",10,5,13,6,2,2,0,0,9,3,7,13,1,12,20,"9-3","N","N","N",4,0,1,40,400,40,480,12,480
"11","SC2",2023-10-07,"Queen of Sth","Stirling",0,1,"A",0,0,"D",1.93,3.77,3.55,"0-0","0-1",10,5,13,6,2,2,0,0,9,3,7,13,1,12,20,"9-3","N","N","N",4,0,2.5,38,320,96,376,24.9,966
