"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1805","SC2",2023-09-02,"Alloa","Cove Rangers",1,0,"H",1,0,"H",2.64,3.33,2.6,"1-0","1-0",10,5,9,3,3,1,0,0,5,3,10,10,1,8,20,"5-3","N","N","N",4,0,1,40,300,40,320,8,320
"1811","SC2",2023-09-16,"Cove Rangers","Kelty Hearts",2,2,"D",1,2,"A",1.94,3.61,3.65,"1-2","2-2",7,4,5,5,2,3,0,1,4,3,8,8,4,7,16,"4-3","Y","Y","Y",5,1,4,75,1100,300,525,28,2100
"1816","SC2",2023-09-23,"Edinburgh City","Cove Rangers",2,2,"D",1,1,"D",4.34,4.11,1.69,"1-1","2-2",12,5,17,7,1,2,0,0,7,3,8,7,4,10,15,"7-3","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"1824","SC2",2023-09-30,"Stirling","Cove Rangers",2,2,"D",1,0,"H",2.5,3.31,2.76,"1-0","2-2",11,7,9,4,2,0,0,1,2,4,8,7,4,6,15,"2-4","Y","Y","Y",2,1,4,45,500,180,270,24,1080
"1825","SC2",2023-10-07,"Cove Rangers","Annan Athletic",3,2,"H",2,0,"H",1.63,3.97,4.41,"2-0","3-2",15,8,8,4,3,2,0,0,3,1,12,10,5,4,22,"3-1","Y","Y","Y",5,0,5,50,600,250,200,20,1000
"1807","SC2",2023-09-02,"Kelty Hearts","Annan Athletic",1,1,"D",0,0,"D",1.71,3.87,4.21,"0-0","1-1",6,3,11,2,1,2,0,0,2,3,8,6,2,5,14,"2-3","Y","N","N",3,0,2,30,200,60,150,10,300
"1810","SC2",2023-09-16,"Annan Athletic","Stirling",3,0,"H",1,0,"H",2.72,3.44,2.47,"1-0","3-0",14,8,11,3,1,3,0,0,4,9,9,14,3,13,23,"4-9","Y","Y","N",4,0,3,40,300,120,520,39,1560
"1815","SC2",2023-09-23,"Annan Athletic","Alloa",1,1,"D",0,1,"A",2.62,3.45,2.55,"0-1","1-1",15,8,8,2,2,1,0,0,7,0,9,15,2,7,24,"7-0","Y","N","N",3,0,2,30,200,60,210,14,420
"1820","SC2",2023-09-29,"Hamilton","Annan Athletic",5,0,"H",1,0,"H",1.34,5.34,7.83,"1-0","5-0",16,6,2,1,1,1,0,0,4,4,13,7,5,8,20,"4-4","Y","Y","Y",2,0,5,20,100,100,160,40,800
"18251","SC2",2023-10-07,"Cove Rangers","Annan Athletic",3,2,"H",2,0,"H",1.63,3.97,4.41,"2-0","3-2",15,8,8,4,3,2,0,0,3,1,12,10,5,4,22,"3-1","Y","Y","Y",5,0,5,50,600,250,200,20,1000
"11","SC2",2023-10-07,"Cove Rangers","Annan Athletic",3,2,"H",2,0,"H",1.63,3.97,4.41,"2-0","3-2",15,8,8,4,3,2,0,0,3,1,12,10,5,4,22,"3-1","Y","Y","Y",5,0,3.5,41,410,148,285.5,24.3,978
