"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5289","SC2",2024-01-09,"Falkirk","Cove Rangers",4,0,"H",1,0,"H",1.36,4.87,8.23,"1-0","4-0",16,10,2,0,1,1,0,0,9,0,12,5,4,9,17,"9-0","Y","Y","Y",2,0,4,20,100,80,180,36,720
"5294","SC2",2024-01-13,"Edinburgh City","Falkirk",2,2,"D",2,0,"H",NA,NA,NA,"2-0","2-2",8,2,25,7,5,1,0,0,1,15,14,13,4,16,27,"1-15","Y","Y","Y",6,0,4,60,500,240,960,64,3840
"5295","SC2",2024-01-27,"Alloa","Falkirk",0,5,"A",0,1,"A",6.74,4.71,1.42,"0-1","0-5",4,2,22,11,1,2,0,0,3,7,12,7,5,10,19,"3-7","Y","Y","Y",3,0,5,30,200,150,300,50,1500
"5314","SC2",2024-02-17,"Falkirk","Hamilton",3,2,"H",3,1,"H",1.74,3.75,4.61,"3-1","3-2",13,7,13,7,0,3,0,0,2,10,9,10,5,12,19,"2-10","Y","Y","Y",3,0,5,30,0,150,360,60,1800
"5316","SC2",2024-02-20,"Falkirk","Montrose",3,0,"H",2,0,"H",1.21,6.51,12.04,"2-0","3-0",16,8,5,1,2,1,0,0,5,4,13,13,3,9,26,"5-4","Y","Y","N",3,0,3,30,200,90,270,27,810
"5319","SC2",2024-02-24,"Kelty Hearts","Falkirk",0,1,"A",0,1,"A",8.54,5.38,1.33,"0-1","0-1",4,2,12,7,3,2,1,0,5,16,13,14,1,21,27,"5-16","N","N","N",5,1,1,75,1100,75,1575,21,1575
"5296","SC2",2024-01-27,"Annan Athletic","Edinburgh City",3,0,"H",1,0,"H",1.29,5.85,7.99,"1-0","3-0",16,9,6,4,0,3,0,0,6,5,6,16,3,11,22,"6-5","Y","Y","N",3,0,3,30,0,90,330,33,990
"5300","SC2",2024-02-03,"Annan Athletic","Alloa",2,3,"A",1,2,"A",2.78,3.68,2.31,"1-2","2-3",9,4,13,7,3,4,0,0,5,3,12,15,5,8,27,"5-3","Y","Y","Y",7,0,5,70,1200,350,560,40,2800
"5306","SC2",2024-02-10,"Hamilton","Annan Athletic",2,3,"A",0,1,"A",1.23,6.18,10.75,"0-1","2-3",19,7,8,4,4,3,0,0,9,6,13,7,5,15,20,"9-6","Y","Y","Y",7,0,5,70,1200,350,1050,75,5250
"5309","SC2",2024-02-13,"Alloa","Annan Athletic",2,1,"H",1,0,"H",1.95,3.89,3.38,"1-0","2-1",11,7,11,9,3,2,0,0,5,6,11,10,3,11,21,"5-6","Y","Y","N",5,0,3,50,600,150,550,33,1650
"5312","SC2",2024-02-17,"Annan Athletic","Stirling",2,1,"H",1,1,"D",2.91,3.37,2.4,"1-1","2-1",12,5,5,3,1,0,0,0,8,5,9,12,3,13,21,"8-5","Y","Y","N",1,0,3,10,0,30,130,39,390
"5317","SC2",2024-02-24,"Cove Rangers","Annan Athletic",2,1,"H",1,0,"H",1.62,4.68,4.4,"1-0","2-1",10,4,6,3,1,2,0,0,3,9,6,8,3,12,14,"3-9","Y","Y","N",3,0,3,30,200,90,360,36,1080
"13","SC2",2024-02-24,"Cove Rangers","Annan Athletic",2,1,"H",1,0,"H",1.62,4.68,4.4,"1-0","2-1",10,4,6,3,1,2,0,0,3,9,6,8,3,12,14,"3-9","Y","Y","N",3,0,3.66666666666667,42.0833333333333,441.666666666667,153.75,552.083333333333,42.8333333333333,1867.08333333333
