"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5298","SC2",2024-01-27,"Hamilton","Montrose",1,1,"D",1,0,"H",1.29,5.59,8.97,"1-0","1-1",5,3,3,2,0,2,0,0,8,3,1,11,2,11,12,"8-3","Y","N","N",2,0,2,20,0,40,220,22,440
"5304","SC2",2024-02-06,"Stirling","Montrose",0,2,"A",0,1,"A",2.35,3.21,3.05,"0-1","0-2",4,1,11,5,2,2,0,0,1,3,4,9,2,4,13,"1-3","Y","N","N",4,0,2,40,400,80,160,8,320
"5308","SC2",2024-02-10,"Montrose","Edinburgh City",3,0,"H",3,0,"H",1.14,8.42,15.57,"3-0","3-0",15,6,13,2,1,1,0,0,8,1,12,3,3,9,15,"8-1","Y","Y","N",2,0,3,20,100,60,180,27,540
"5315","SC2",2024-02-17,"Montrose","Kelty Hearts",4,2,"H",2,0,"H",2.2,3.53,3.13,"2-0","4-2",13,5,11,4,1,1,0,0,7,3,14,7,6,10,21,"7-3","Y","Y","Y",2,0,6,20,100,120,200,60,1200
"5316","SC2",2024-02-20,"Falkirk","Montrose",3,0,"H",2,0,"H",1.21,6.51,12.04,"2-0","3-0",16,8,5,1,2,1,0,0,5,4,13,13,3,9,26,"5-4","Y","Y","N",3,0,3,30,200,90,270,27,810
"5321","SC2",2024-02-24,"Queen of Sth","Montrose",2,3,"A",1,0,"H",2.08,3.74,3.23,"1-0","2-3",6,2,9,4,1,1,0,0,3,5,14,13,5,8,27,"3-5","Y","Y","Y",2,0,5,20,100,100,160,40,800
"5295","SC2",2024-01-27,"Alloa","Falkirk",0,5,"A",0,1,"A",6.74,4.71,1.42,"0-1","0-5",4,2,22,11,1,2,0,0,3,7,12,7,5,10,19,"3-7","Y","Y","Y",3,0,5,30,200,150,300,50,1500
"5300","SC2",2024-02-03,"Annan Athletic","Alloa",2,3,"A",1,2,"A",2.78,3.68,2.31,"1-2","2-3",9,4,13,7,3,4,0,0,5,3,12,15,5,8,27,"5-3","Y","Y","Y",7,0,5,70,1200,350,560,40,2800
"5305","SC2",2024-02-10,"Alloa","Stirling",1,0,"H",0,0,"D",2.35,3.45,2.86,"0-0","1-0",8,1,6,0,1,3,0,0,8,7,12,10,1,15,22,"8-7","N","N","N",4,0,1,40,300,40,600,15,600
"5309","SC2",2024-02-13,"Alloa","Annan Athletic",2,1,"H",1,0,"H",1.95,3.89,3.38,"1-0","2-1",11,7,11,9,3,2,0,0,5,6,11,10,3,11,21,"5-6","Y","Y","N",5,0,3,50,600,150,550,33,1650
"5311","SC2",2024-02-17,"Alloa","Cove Rangers",4,1,"H",1,0,"H",2.41,3.56,2.77,"1-0","4-1",7,4,8,1,0,1,1,0,8,6,2,5,5,14,7,"8-6","Y","Y","Y",1,1,5,35,250,175,490,70,2450
"5318","SC2",2024-02-24,"Hamilton","Alloa",1,2,"A",0,0,"D",1.35,5.03,8.47,"0-0","1-2",18,9,13,5,0,0,0,0,8,8,5,9,3,16,14,"8-8","Y","Y","N",0,0,3,0,0,0,0,48,0
"13","SC2",2024-02-24,"Hamilton","Alloa",1,2,"A",0,0,"D",1.35,5.03,8.47,"0-0","1-2",18,9,13,5,0,0,0,0,8,8,5,9,3,16,14,"8-8","Y","Y","N",0,0,3.58333333333333,31.25,287.5,112.916666666667,307.5,36.6666666666667,1092.5
