"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5533","SC2",2024-01-27,"Cove Rangers","Queen of Sth",0,2,"A",0,1,"A",1.73,3.89,4.37,"0-1","0-2",4,2,6,4,1,2,0,0,4,6,9,12,2,10,21,"4-6","Y","N","N",3,0,2,30,200,60,300,20,600
"5538","SC2",2024-02-03,"Queen of Sth","Hamilton",0,2,"A",0,0,"D",6.01,4.3,1.5,"0-0","0-2",10,2,13,5,0,1,0,0,2,6,11,4,2,8,15,"2-6","Y","N","N",1,0,2,10,0,20,80,16,160
"5543","SC2",2024-02-10,"Kelty Hearts","Queen of Sth",0,0,"D",0,0,"D",2.52,3.41,2.67,"0-0","0-0",4,1,9,4,3,2,0,0,8,6,13,15,0,14,28,"8-6","N","N","N",5,0,0,50,600,0,700,0,0
"5549","SC2",2024-02-17,"Edinburgh City","Queen of Sth",1,1,"D",0,0,"D",8.42,7.08,1.25,"0-0","1-1",6,3,12,4,2,3,0,0,4,4,10,15,2,8,25,"4-4","Y","N","N",5,0,2,50,600,100,400,16,800
"5557","SC2",2024-02-24,"Queen of Sth","Montrose",2,3,"A",1,0,"H",2.08,3.74,3.23,"1-0","2-3",6,2,9,4,1,1,0,0,3,5,14,13,5,8,27,"3-5","Y","Y","Y",2,0,5,20,100,100,160,40,800
"5563","SC2",2024-03-02,"Queen of Sth","Stirling",2,2,"D",1,1,"D",2.36,3.43,2.93,"1-1","2-2",7,3,6,4,4,4,0,0,7,7,12,13,4,14,25,"7-7","Y","Y","Y",8,0,4,80,1600,320,1120,56,4480
"5526","SC2",2024-01-13,"Hamilton","Cove Rangers",2,0,"H",1,0,"H",1.56,4.17,5.46,"1-0","2-0",10,5,17,5,1,0,1,1,1,2,12,9,2,3,21,"1-2","Y","N","N",1,2,2,60,875,120,180,6,360
"55331","SC2",2024-01-27,"Cove Rangers","Queen of Sth",0,2,"A",0,1,"A",1.73,3.89,4.37,"0-1","0-2",4,2,6,4,1,2,0,0,4,6,9,12,2,10,21,"4-6","Y","N","N",3,0,2,30,200,60,300,20,600
"5539","SC2",2024-02-03,"Stirling","Cove Rangers",2,2,"D",1,0,"H",3.61,3.55,1.97,"1-0","2-2",13,7,9,4,1,0,0,0,4,6,14,6,4,10,20,"4-6","Y","Y","Y",1,0,4,10,0,40,100,40,400
"5547","SC2",2024-02-17,"Alloa","Cove Rangers",4,1,"H",1,0,"H",2.41,3.56,2.77,"1-0","4-1",7,4,8,1,0,1,1,0,8,6,2,5,5,14,7,"8-6","Y","Y","Y",1,1,5,35,250,175,490,70,2450
"5553","SC2",2024-02-24,"Cove Rangers","Annan Athletic",2,1,"H",1,0,"H",1.62,4.68,4.4,"1-0","2-1",10,4,6,3,1,2,0,0,3,9,6,8,3,12,14,"3-9","Y","Y","N",3,0,3,30,200,90,360,36,1080
"5559","SC2",2024-03-02,"Edinburgh City","Cove Rangers",0,2,"A",0,1,"A",8.63,5.77,1.3,"0-1","0-2",14,7,13,10,1,2,0,0,4,5,8,11,2,9,19,"4-5","Y","N","N",3,0,2,30,200,60,270,18,540
"13","SC2",2024-03-02,"Edinburgh City","Cove Rangers",0,2,"A",0,1,"A",8.63,5.77,1.3,"0-1","0-2",14,7,13,10,1,2,0,0,4,5,8,11,2,9,19,"4-5","Y","N","N",3,0,2.75,36.25,402.083333333333,95.4166666666667,371.666666666667,28.1666666666667,1022.5
