"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1846","SC3",2023-08-26,"Forfar","Bonnyrigg Rose",1,2,"A",0,1,"A",2.21,3.19,3.34,"0-1","1-2",9,4,8,3,2,1,1,0,3,4,21,20,3,7,41,"3-4","Y","Y","N",3,1,3,55,450,165,385,21,1155
"1850","SC3",2023-09-02,"Bonnyrigg Rose","Elgin",5,1,"H",2,0,"H",1.74,3.65,4.66,"2-0","5-1",13,6,11,3,1,1,0,0,6,3,22,11,6,9,33,"6-3","Y","Y","Y",2,0,6,20,100,120,180,54,1080
"1858","SC3",2023-09-16,"Peterhead","Bonnyrigg Rose",2,1,"H",0,0,"D",2.58,3.22,2.73,"0-0","2-1",10,4,8,2,5,2,0,0,2,3,21,12,3,5,33,"2-3","Y","Y","N",7,0,3,70,1000,210,350,15,1050
"1860","SC3",2023-09-23,"Bonnyrigg Rose","Stenhousemuir",0,1,"A",0,0,"D",2.37,3.43,2.85,"0-0","0-1",8,3,11,5,5,3,0,0,4,2,13,15,1,6,28,"4-2","N","N","N",8,0,1,80,1500,80,480,6,480
"1868","SC3",2023-09-30,"Spartans","Bonnyrigg Rose",2,2,"D",0,1,"A",2.17,3.37,3.25,"0-1","2-2",7,3,9,4,2,1,0,0,6,4,15,11,4,10,26,"6-4","Y","Y","Y",3,0,4,30,200,120,300,40,1200
"1845","SC3",2023-08-26,"Elgin","East Fife",1,1,"D",1,0,"H",2.91,3.33,2.38,"1-0","1-1",8,3,10,4,4,2,0,0,2,5,12,7,2,7,19,"2-5","Y","N","N",6,0,2,60,800,120,420,14,840
"1852","SC3",2023-09-02,"Dumbarton","East Fife",1,0,"H",0,0,"D",1.8,3.69,4.19,"0-0","1-0",10,3,7,2,1,2,0,0,3,4,13,15,1,7,28,"3-4","N","N","N",3,0,1,30,200,30,210,7,210
"1855","SC3",2023-09-16,"East Fife","Clyde",2,0,"H",1,0,"H",1.9,3.49,3.53,"1-0","2-0",9,4,6,3,2,2,0,0,4,0,10,17,2,4,27,"4-0","Y","N","N",4,0,2,40,400,80,160,8,320
"1863","SC3",2023-09-23,"Spartans","East Fife",2,2,"D",1,0,"H",1.98,3.36,3.83,"1-0","2-2",7,2,10,8,2,2,0,0,5,2,8,10,4,7,18,"5-2","Y","Y","Y",4,0,4,40,400,160,280,28,1120
"1866","SC3",2023-09-30,"East Fife","Forfar",1,1,"D",1,0,"H",2.33,3.26,3.05,"1-0","1-1",2,1,9,3,1,2,0,0,4,3,15,17,2,7,32,"4-3","Y","N","N",3,0,2,30,200,60,210,14,420
"11","SC3",2023-09-30,"East Fife","Forfar",1,1,"D",1,0,"H",2.33,3.26,3.05,"1-0","1-1",2,1,9,3,1,2,0,0,4,3,15,17,2,7,32,"4-3","Y","N","N",3,0,2.8,45.5,525,114.5,297.5,20.7,787.5
