"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5669","SC3",2024-02-03,"Bonnyrigg Rose","Stranraer",0,0,"D",0,0,"D",2.21,3.35,3.18,"0-0","0-0",9,1,9,5,5,1,0,0,7,6,12,10,0,13,22,"7-6","N","N","N",6,0,0,60,500,0,780,0,0
"5674","SC3",2024-02-06,"Bonnyrigg Rose","Elgin",2,0,"H",1,0,"H",1.76,3.75,4.37,"1-0","2-0",12,5,7,2,1,3,0,0,6,5,18,10,2,11,28,"6-5","Y","N","N",4,0,2,40,300,80,440,22,880
"5680","SC3",2024-02-17,"Bonnyrigg Rose","East Fife",0,2,"A",0,2,"A",2.31,3.27,3.11,"0-2","0-2",15,6,9,4,2,1,1,0,2,2,15,15,2,4,30,"2-2","Y","N","N",3,1,2,55,450,110,220,8,440
"5686","SC3",2024-02-20,"Peterhead","Bonnyrigg Rose",0,0,"D",0,0,"D",1.88,3.64,3.97,"0-0","0-0",11,6,6,1,1,1,1,0,4,3,9,10,0,7,19,"4-3","N","N","N",2,1,0,45,350,0,315,0,0
"5690","SC3",2024-02-24,"Spartans","Bonnyrigg Rose",2,1,"H",2,0,"H",2.05,3.43,3.58,"2-0","2-1",9,5,8,5,3,5,0,0,11,6,10,15,3,17,25,"11-6","Y","Y","N",8,0,3,80,1500,240,1360,51,4080
"5692","SC3",2024-03-02,"Bonnyrigg Rose","Stenhousemuir",0,1,"A",0,0,"D",3.05,3.26,2.37,"0-0","0-1",6,2,15,4,0,3,0,0,6,5,11,15,1,11,26,"6-5","N","N","N",3,0,1,30,0,30,330,11,330
"5672","SC3",2024-02-03,"Forfar","Spartans",1,0,"H",1,0,"H",3.17,3.2,2.29,"1-0","1-0",7,5,5,2,2,0,0,0,2,5,9,7,1,7,16,"2-5","N","N","N",2,0,1,20,0,20,140,7,140
"5675","SC3",2024-02-10,"Dumbarton","Forfar",2,2,"D",2,1,"H",1.62,3.84,5.15,"2-1","2-2",12,7,10,3,2,3,0,0,3,5,15,13,4,8,28,"3-5","Y","Y","Y",5,0,4,50,600,200,400,32,1600
"5683","SC3",2024-02-17,"Forfar","Peterhead",3,3,"D",3,0,"H",2.59,3.36,2.67,"3-0","3-3",11,6,13,5,2,3,0,0,7,8,13,13,6,15,26,"7-8","Y","Y","Y",5,0,6,50,600,300,750,90,4500
"5685","SC3",2024-02-20,"Clyde","Forfar",0,2,"A",0,0,"D",2.88,3.22,2.5,"0-0","0-2",9,4,8,3,3,2,0,0,8,5,10,13,2,13,23,"8-5","Y","N","N",5,0,2,50,600,100,650,26,1300
"5688","SC3",2024-02-24,"East Fife","Forfar",1,1,"D",0,1,"A",2.33,3.22,3.14,"0-1","1-1",6,2,3,2,1,1,0,0,11,1,12,10,2,12,22,"11-1","Y","N","N",2,0,2,20,100,40,240,24,480
"5696","SC3",2024-03-02,"Stranraer","Forfar",0,0,"D",0,0,"D",2.5,3.2,2.9,"0-0","0-0",9,5,8,6,1,1,0,1,6,6,8,14,0,12,22,"6-6","N","N","N",2,1,0,45,350,0,540,0,0
"13","SC3",2024-03-02,"Stranraer","Forfar",0,0,"D",0,0,"D",2.5,3.2,2.9,"0-0","0-0",9,5,8,6,1,1,0,1,6,6,8,14,0,12,22,"6-6","N","N","N",2,1,1.91666666666667,45.4166666666667,445.833333333333,93.3333333333333,513.75,22.5833333333333,1145.83333333333
