"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6438","SC3",2024-03-02,"Spartans","East Fife",1,3,"A",1,1,"D",2.04,3.41,3.65,"1-1","1-3",4,3,7,3,2,2,0,0,6,3,9,11,4,9,20,"6-3","Y","Y","Y",4,0,4,40,400,160,360,36,1440
"6440","SC3",2024-03-05,"Bonnyrigg Rose","Spartans",2,2,"D",1,1,"D",2.83,3.16,2.57,"1-1","2-2",12,4,15,6,0,1,1,0,5,1,14,17,4,6,31,"5-1","Y","Y","Y",1,1,4,35,250,140,210,24,840
"6446","SC3",2024-03-09,"Stenhousemuir","Spartans",0,0,"D",0,0,"D",2.04,3.42,3.62,"0-0","0-0",5,2,6,1,0,1,0,0,7,2,10,12,0,9,22,"7-2","N","N","N",1,0,0,10,0,0,90,0,0
"6450","SC3",2024-03-16,"Spartans","Dumbarton",2,6,"A",2,3,"A",2.36,3.35,2.99,"2-3","2-6",5,3,15,8,0,2,0,0,9,6,11,9,8,15,20,"9-6","Y","Y","Y",2,0,8,20,0,160,300,120,2400
"6452","SC3",2024-03-23,"Clyde","Spartans",0,0,"D",0,0,"D",2.28,3.42,3,"0-0","0-0",5,1,5,2,2,3,0,0,7,5,15,10,0,12,25,"7-5","N","N","N",5,0,0,50,600,0,600,0,0
"6460","SC3",2024-03-30,"Spartans","Forfar",1,0,"H",0,0,"D",2.14,3.35,3.35,"0-0","1-0",4,2,5,1,1,1,0,1,4,6,9,16,1,10,25,"4-6","N","N","N",2,1,1,45,350,45,450,10,450
"6431","SC3",2024-02-24,"East Fife","Forfar",1,1,"D",0,1,"A",2.33,3.22,3.14,"0-1","1-1",6,2,3,2,1,1,0,0,11,1,12,10,2,12,22,"11-1","Y","N","N",2,0,2,20,100,40,240,24,480
"6439","SC3",2024-03-02,"Stranraer","Forfar",0,0,"D",0,0,"D",2.5,3.2,2.9,"0-0","0-0",9,5,8,6,1,1,0,1,6,6,8,14,0,12,22,"6-6","N","N","N",2,1,0,45,350,0,540,0,0
"6444","SC3",2024-03-09,"Forfar","Clyde",2,1,"H",0,1,"A",2.25,3.47,3.07,"0-1","2-1",11,5,10,4,0,0,0,0,7,3,9,13,3,10,22,"7-3","Y","Y","N",0,0,3,0,0,0,0,30,0
"6448","SC3",2024-03-16,"Forfar","Stenhousemuir",1,1,"D",0,1,"A",3.04,3.36,2.31,"0-1","1-1",6,1,12,3,2,4,0,0,3,3,15,22,2,6,37,"3-3","Y","N","N",6,0,2,60,800,120,360,12,720
"6455","SC3",2024-03-23,"Elgin","Forfar",1,1,"D",1,1,"D",2.62,3.17,2.72,"1-1","1-1",10,3,6,4,1,2,0,0,7,4,12,19,2,11,31,"7-4","Y","N","N",3,0,2,30,200,60,330,22,660
"64601","SC3",2024-03-30,"Spartans","Forfar",1,0,"H",0,0,"D",2.14,3.35,3.35,"0-0","1-0",4,2,5,1,1,1,0,1,4,6,9,16,1,10,25,"4-6","N","N","N",2,1,1,45,350,45,450,10,450
"13","SC3",2024-03-30,"Spartans","Forfar",1,0,"H",0,0,"D",2.14,3.35,3.35,"0-0","1-0",4,2,5,1,1,1,0,1,4,6,9,16,1,10,25,"4-6","N","N","N",2,1,2.25,33.3333333333333,283.333333333333,64.1666666666667,327.5,24,620
