"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"286","SP1","2023-04-16","Girona","Elche",2,0,"H",1,0,"H",1.54,4.37,6.51,"1-0","2-0",14,4,13,5,3,3,0,1,3,4,9,14,2,7,23,"3-4","Y","N","N",6,1,"Girona-Elche",115,2,27,85,1650,170,595,2295,14,54,189,805,1190
"297","SP1","2023-04-23","Elche","Valencia",0,2,"A",0,2,"A",4.53,3.58,1.89,"0-2","0-2",7,1,5,3,3,1,0,0,11,6,12,6,2,17,18,"11-6","Y","N","N",4,0,"Elche-Valencia",61,2,21,40,300,80,680,840,34,42,357,1037,1360
"306","SP1","2023-04-26","Celta","Elche",1,0,"H",0,0,"D",1.33,5.33,10.76,"0-0","1-0",17,9,16,1,0,0,0,0,10,6,9,12,1,16,21,"10-6","N","N","N",0,0,"Celta-Elche",90,1,15,0,0,0,0,0,16,15,240,1440,0
"312","SP1","2023-04-29","Elche","Vallecano",4,0,"H",1,0,"H",4.84,3.6,1.83,"1-0","4-0",18,9,14,3,1,2,0,1,3,8,13,16,4,11,29,"3-8","Y","Y","Y",3,1,"Elche-Vallecano",222,4,56,55,450,220,605,3080,44,224,616,2442,2420
"321","SP1","2023-05-02","Almeria","Elche",2,1,"H",1,0,"H",1.63,4.37,5.42,"1-0","2-1",10,4,14,1,2,2,0,0,7,13,8,9,3,20,17,"7-13","Y","Y","N",4,0,"Almeria-Elche",164,3,41,40,400,120,800,1640,60,123,820,3280,2400
"337","SP1","2023-05-14","Elche","Ath Madrid",1,0,"H",1,0,"H",9.07,5.3,1.36,"1-0","1-0",15,4,13,4,2,0,0,0,3,5,16,3,1,8,19,"3-5","N","N","N",2,0,"Elche-Ath Madrid",41,1,0,20,0,20,160,0,8,0,0,328,160
"2861","SP1","2023-04-16","Girona","Elche",2,0,"H",1,0,"H",1.54,4.37,6.51,"1-0","2-0",14,4,13,5,3,3,0,1,3,4,9,14,2,7,23,"3-4","Y","N","N",6,1,"Girona-Elche",115,2,27,85,1650,170,595,2295,14,54,189,805,1190
"295","SP1","2023-04-22","Valladolid","Girona",1,0,"H",1,0,"H",2.49,3.52,2.93,"1-0","1-0",15,6,12,6,1,1,0,0,5,7,14,9,1,12,23,"5-7","N","N","N",2,0,"Valladolid-Girona",0,0,0,20,100,20,240,0,12,0,0,0,240
"302","SP1","2023-04-25","Girona","Real Madrid",4,2,"H",2,1,"H",5.56,4.55,1.6,"2-1","4-2",13,5,18,3,1,2,0,0,3,8,7,6,6,11,13,"3-8","Y","Y","Y",3,0,"Girona-Real Madrid",263,6,73,30,200,180,330,2190,66,438,803,2893,1980
"320","SP1","2023-05-01","Sevilla","Girona",0,2,"A",0,1,"A",2.01,3.55,4.02,"0-1","0-2",23,5,9,3,1,1,0,0,6,1,14,11,2,7,25,"6-1","Y","N","N",2,0,"Sevilla-Girona",78,2,24,20,100,40,140,480,14,48,168,546,280
"327","SP1","2023-05-04","Girona","Mallorca",2,1,"H",1,0,"H",2.14,3.26,3.95,"1-0","2-1",17,7,8,2,4,0,0,0,9,5,9,13,3,14,22,"9-5","Y","Y","N",4,0,"Girona-Mallorca",209,3,18,40,0,120,560,720,42,54,252,2926,1680
"332","SP1","2023-05-13","Sociedad","Girona",2,2,"D",2,2,"D",1.66,3.96,5.69,"2-2","2-2",18,6,13,6,5,3,0,1,7,4,22,13,4,11,35,"7-4","Y","Y","Y",8,1,"Sociedad-Girona",111,4,0,105,2750,420,1155,0,44,0,0,1221,4620
"13","SP1","2023-05-13","Sociedad","Girona",2,2,"D",2,2,"D",1.66,3.96,5.69,"2-2","2-2",18,6,13,6,5,3,0,1,7,4,22,13,4,11,35,"7-4","Y","Y","Y",8,1,"Sociedad-Girona",122.416666666667,2.5,25.1666666666667,45,633.333333333333,130,488.333333333333,1128.33333333333,30.6666666666667,87.6666666666667,302.833333333333,1476.91666666667,1460
