"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","SP1",2024-01-22,"Granada","Ath Madrid",0,1,"A",0,0,"D",5.03,4,1.7,"0-0","0-1",17,2,10,5,2,2,0,0,6,2,11,16,1,8,27,"6-2","N","N","N",4,1,"Granada-Ath Madrid",54,1,19,40,400,65,520,760,8,19,152,432,520
"2","SP1",2024-01-29,"Getafe","Granada",2,0,"H",2,0,"H",1.82,3.5,5.01,"2-0","2-0",7,4,16,3,2,1,0,0,4,3,17,11,2,7,28,"4-3","Y","N","N",3,0,"Getafe-Granada",57,2,21,30,200,60,210,630,14,42,147,399,420
"3","SP1",2024-02-03,"Granada","Las Palmas",1,1,"D",1,0,"H",2.32,3.23,3.41,"1-0","1-1",3,1,16,6,4,3,1,1,2,9,6,16,2,11,22,"2-9","Y","N","N",7,2,"Granada-Las Palmas",111,2,26,120,3575,240,1320,3120,22,52,286,1221,2640
"4","SP1",2024-02-11,"Barcelona","Granada",3,3,"D",1,1,"D",1.2,7.83,12.33,"1-1","3-3",11,6,11,5,1,2,0,0,6,2,13,9,6,8,22,"6-2","Y","Y","Y",3,0,"Barcelona-Granada",326,6,108,30,200,180,240,3240,48,648,864,2608,1440
"5","SP1",2024-02-18,"Granada","Almeria",1,1,"D",0,1,"A",2.19,3.51,3.43,"0-1","1-1",19,7,13,3,2,3,0,0,10,4,13,22,2,14,35,"10-4","Y","N","N",5,0,"Granada-Almeria",84,2,29,50,600,100,700,1450,28,58,406,1176,1400
"6","SP1",2024-03-03,"Villarreal","Granada",5,1,"H",3,0,"H",1.65,4.33,5.04,"3-0","5-1",16,10,9,3,1,2,0,0,6,4,12,15,6,10,27,"6-4","Y","Y","Y",3,0,"Villarreal-Granada",261,6,65,30,200,180,300,1950,60,390,650,2610,1800
"7","SP1",2024-01-27,"Sociedad","Vallecano",0,0,"D",0,0,"D",1.67,3.73,5.86,"0-0","0-0",6,3,5,0,2,4,0,0,2,2,16,14,0,4,30,"2-2","N","N","N",6,0,"Sociedad-Vallecano",0,0,0,60,800,0,240,0,0,0,0,0,0
"8","SP1",2024-02-03,"Girona","Sociedad",0,0,"D",0,0,"D",2.19,3.42,3.52,"0-0","0-0",11,3,11,2,2,3,0,0,3,4,8,19,0,7,27,"3-4","N","N","N",5,0,"Girona-Sociedad",0,0,0,50,600,0,350,0,0,0,0,0,0
"9","SP1",2024-02-10,"Sociedad","Osasuna",0,1,"A",0,0,"D",1.89,3.21,5.12,"0-0","0-1",21,3,9,2,0,0,0,0,7,4,11,11,1,11,22,"7-4","N","N","N",0,0,"Sociedad-Osasuna",49,1,17,0,0,0,0,0,11,17,187,539,0
"10","SP1",2024-02-18,"Mallorca","Sociedad",1,2,"A",1,1,"D",3.4,2.83,2.6,"1-1","1-2",4,1,19,5,7,5,1,0,3,9,12,18,3,12,30,"3-9","Y","Y","N",12,1,"Mallorca-Sociedad",132,3,40,145,4750,435,1740,5800,36,120,480,1584,5220
"11","SP1",2024-02-23,"Sociedad","Villarreal",1,3,"A",0,1,"A",1.72,3.84,5.25,"0-1","1-3",21,8,6,4,3,4,0,0,13,2,15,14,4,15,29,"13-2","Y","Y","Y",7,0,"Sociedad-Villarreal",240,4,27,70,1200,280,1050,1890,60,108,405,3600,4200
"12","SP1",2024-03-02,"Sevilla","Sociedad",3,2,"H",2,1,"H",2.64,3.02,3.09,"2-1","3-2",12,5,13,4,1,2,0,0,2,5,12,15,5,7,27,"2-5","Y","Y","Y",3,0,"Sevilla-Sociedad",224,5,78,30,200,150,210,2340,35,390,546,1568,1050
"13","SP1",2024-03-02,"Sevilla","Sociedad",3,2,"H",2,1,"H",2.64,3.02,3.09,"2-1","3-2",12,5,13,4,1,2,0,0,2,5,12,15,5,7,27,"2-5","Y","Y","Y",3,0,"Sevilla-Sociedad",128.166666666667,2.66666666666667,35.8333333333333,54.5833333333333,1060.41666666667,140.833333333333,573.333333333333,1765,26.8333333333333,153.666666666667,343.583333333333,1311.41666666667,1557.5
