"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","SP1",2024-01-27,"Las Palmas","Real Madrid",1,2,"A",0,0,"D",7.18,4.74,1.45,"0-0","1-2",7,2,13,5,3,3,0,0,1,6,17,14,3,7,31,"1-6","Y","Y","N",6,0,"Las Palmas-Real Madrid",202,3,30,60,900,180,420,1800,21,90,210,1414,1260
"2","SP1",2024-02-03,"Granada","Las Palmas",1,1,"D",1,0,"H",2.32,3.23,3.41,"1-0","1-1",3,1,16,6,4,3,1,1,2,9,6,16,2,11,22,"2-9","Y","N","N",7,2,"Granada-Las Palmas",111,2,26,120,3575,240,1320,3120,22,52,286,1221,2640
"3","SP1",2024-02-10,"Las Palmas","Valencia",2,0,"H",0,0,"D",2.84,2.91,2.97,"0-0","2-0",8,3,7,1,2,0,0,0,5,0,9,9,2,5,18,"5-0","Y","N","N",2,0,"Las Palmas-Valencia",179,2,23,20,0,40,100,460,10,46,115,895,200
"4","SP1",2024-02-17,"Ath Madrid","Las Palmas",5,0,"H",2,0,"H",1.48,4.58,6.96,"2-0","5-0",13,7,11,2,2,2,0,0,3,5,19,9,5,8,28,"3-5","Y","Y","Y",4,0,"Ath Madrid-Las Palmas",231,5,57,40,400,200,320,2280,40,285,456,1848,1600
"5","SP1",2024-02-25,"Las Palmas","Osasuna",1,1,"D",0,0,"D",2.44,3.03,3.42,"0-0","1-1",9,3,6,2,2,1,0,0,6,7,6,15,2,13,21,"6-7","Y","N","N",3,0,"Las Palmas-Osasuna",101,2,24,30,200,60,390,720,26,48,312,1313,780
"6","SP1",2024-03-02,"Getafe","Las Palmas",3,3,"D",3,1,"H",2.05,3.2,4.27,"3-1","3-3",16,5,14,5,4,1,0,0,4,4,28,9,6,8,37,"4-4","Y","Y","Y",5,0,"Getafe-Las Palmas",212,6,68,50,400,300,400,3400,48,408,544,1696,2400
"7","SP1",2024-01-28,"Cadiz","Ath Bilbao",0,0,"D",0,0,"D",5.11,3.68,1.76,"0-0","0-0",9,2,8,0,4,2,0,0,6,8,13,14,0,14,27,"6-8","N","N","N",6,0,"Cadiz-Ath Bilbao",0,0,0,60,800,0,840,0,0,0,0,0,0
"8","SP1",2024-02-02,"Ath Bilbao","Mallorca",4,0,"H",2,0,"H",1.56,4,7.13,"2-0","4-0",13,6,6,2,0,1,0,0,6,2,17,15,4,8,32,"6-2","Y","Y","Y",1,0,"Ath Bilbao-Mallorca",170,4,56,10,0,40,80,560,32,224,448,1360,320
"9","SP1",2024-02-12,"Almeria","Ath Bilbao",0,0,"D",0,0,"D",4.64,3.99,1.76,"0-0","0-0",10,4,12,4,4,1,1,0,4,10,17,15,0,14,32,"4-10","N","N","N",5,1,"Almeria-Ath Bilbao",0,0,0,75,650,0,1050,0,0,0,0,0,0
"10","SP1",2024-02-19,"Ath Bilbao","Girona",3,2,"H",1,0,"H",1.94,3.79,3.88,"1-0","3-2",14,7,12,6,1,2,0,0,3,4,16,13,5,7,29,"3-4","Y","Y","Y",3,0,"Ath Bilbao-Girona",242,5,56,30,200,150,210,1680,35,280,392,1694,1050
"11","SP1",2024-02-25,"Betis","Ath Bilbao",3,1,"H",2,1,"H",3.63,3.27,2.21,"2-1","3-1",13,5,3,1,1,6,0,1,5,3,14,12,4,8,26,"5-3","Y","Y","Y",7,1,"Betis-Ath Bilbao",163,4,42,95,850,380,760,3990,32,168,336,1304,3040
"12","SP1",2024-03-03,"Ath Bilbao","Barcelona",0,0,"D",0,0,"D",2.94,3.54,2.43,"0-0","0-0",8,2,8,2,3,3,0,0,4,4,14,11,0,8,25,"4-4","N","N","N",6,0,"Ath Bilbao-Barcelona",0,0,0,60,900,0,480,0,0,0,0,0,0
"13","SP1",2024-03-03,"Ath Bilbao","Barcelona",0,0,"D",0,0,"D",2.94,3.54,2.43,"0-0","0-0",8,2,8,2,3,3,0,0,4,4,14,11,0,8,25,"4-4","N","N","N",6,0,"Ath Bilbao-Barcelona",134.25,2.75,31.8333333333333,54.1666666666667,739.583333333333,132.5,530.833333333333,1500.83333333333,22.1666666666667,133.416666666667,258.25,1062.08333333333,1107.5
