"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","SP1",2024-01-21,"Girona","Sevilla",5,1,"H",3,1,"H",1.74,3.93,4.81,"3-1","5-1",12,8,9,3,0,2,0,0,4,5,9,11,6,9,20,"4-5","Y","Y","Y",2,0,"Girona-Sevilla",202,6,62,20,0,120,180,1240,54,372,558,1818,1080
"2","SP1",2024-01-28,"Sevilla","Osasuna",1,1,"D",1,0,"H",2.1,3.37,3.84,"1-0","1-1",10,5,11,4,3,0,1,0,2,4,19,13,2,6,32,"2-4","Y","N","N",3,1,"Sevilla-Osasuna",79,2,37,55,0,110,330,2035,12,74,222,474,660
"3","SP1",2024-02-05,"Vallecano","Sevilla",1,2,"A",1,2,"A",2.18,3.36,3.61,"1-2","1-2",22,5,10,6,2,2,0,0,6,0,8,10,3,6,18,"6-0","Y","Y","N",4,0,"Vallecano-Sevilla",93,3,37,40,400,120,240,1480,18,111,222,558,720
"4","SP1",2024-02-11,"Sevilla","Ath Madrid",1,0,"H",1,0,"H",3.6,3.64,2.08,"1-0","1-0",10,6,16,5,2,1,0,0,2,7,8,5,1,9,13,"2-7","N","N","N",3,0,"Sevilla-Ath Madrid",15,1,20,30,200,30,270,600,9,20,180,135,270
"5","SP1",2024-02-17,"Valencia","Sevilla",0,0,"D",0,0,"D",2.29,3.28,3.44,"0-0","0-0",14,4,1,1,0,1,0,0,7,2,5,8,0,9,13,"7-2","N","N","N",1,0,"Valencia-Sevilla",0,0,0,10,0,0,90,0,0,0,0,0,0
"6","SP1",2024-02-25,"Real Madrid","Sevilla",1,0,"H",0,0,"D",1.32,6.02,8.92,"0-0","1-0",16,6,4,1,1,3,0,0,7,2,10,13,1,9,23,"7-2","N","N","N",4,0,"Real Madrid-Sevilla",81,1,10,40,300,40,360,400,9,10,90,729,360
"7","SP1",2024-01-20,"Celta","Sociedad",0,1,"A",0,1,"A",3.21,3.08,2.52,"0-1","0-1",6,2,6,2,1,2,0,0,6,3,12,18,1,9,30,"6-3","N","N","N",3,0,"Celta-Sociedad",11,1,23,30,200,30,270,690,9,23,207,99,270
"8","SP1",2024-01-27,"Sociedad","Vallecano",0,0,"D",0,0,"D",1.67,3.73,5.86,"0-0","0-0",6,3,5,0,2,4,0,0,2,2,16,14,0,4,30,"2-2","N","N","N",6,0,"Sociedad-Vallecano",0,0,0,60,800,0,240,0,0,0,0,0,0
"9","SP1",2024-02-03,"Girona","Sociedad",0,0,"D",0,0,"D",2.19,3.42,3.52,"0-0","0-0",11,3,11,2,2,3,0,0,3,4,8,19,0,7,27,"3-4","N","N","N",5,0,"Girona-Sociedad",0,0,0,50,600,0,350,0,0,0,0,0,0
"10","SP1",2024-02-10,"Sociedad","Osasuna",0,1,"A",0,0,"D",1.89,3.21,5.12,"0-0","0-1",21,3,9,2,0,0,0,0,7,4,11,11,1,11,22,"7-4","N","N","N",0,0,"Sociedad-Osasuna",49,1,17,0,0,0,0,0,11,17,187,539,0
"11","SP1",2024-02-18,"Mallorca","Sociedad",1,2,"A",1,1,"D",3.4,2.83,2.6,"1-1","1-2",4,1,19,5,7,5,1,0,3,9,12,18,3,12,30,"3-9","Y","Y","N",12,1,"Mallorca-Sociedad",132,3,40,145,4750,435,1740,5800,36,120,480,1584,5220
"12","SP1",2024-02-23,"Sociedad","Villarreal",1,3,"A",0,1,"A",1.72,3.84,5.25,"0-1","1-3",21,8,6,4,3,4,0,0,13,2,15,14,4,15,29,"13-2","Y","Y","Y",7,0,"Sociedad-Villarreal",240,4,27,70,1200,280,1050,1890,60,108,405,3600,4200
"13","SP1",2024-02-23,"Sociedad","Villarreal",1,3,"A",0,1,"A",1.72,3.84,5.25,"0-1","1-3",21,8,6,4,3,4,0,0,13,2,15,14,4,15,29,"13-2","Y","Y","Y",7,0,"Sociedad-Villarreal",75.1666666666667,1.83333333333333,22.75,45.8333333333333,704.166666666667,97.0833333333333,426.666666666667,1177.91666666667,18.1666666666667,71.25,212.583333333333,794.666666666667,1065
