"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3222","SP2",2024-03-24,"Santander","Eldense",2,1,"H",1,0,"H",2.04,2.95,4.3,"1-0","2-1",16,10,17,6,1,5,0,0,11,6,15,17,3,17,32,"11-6","Y","Y","N",6,0,3,60,500,180,1020,51,3060
"3227","SP2",2024-03-30,"Eibar","Eldense",5,1,"H",1,0,"H",1.78,3.6,5.11,"1-0","5-1",17,7,11,5,1,1,0,0,6,1,5,9,6,7,14,"6-1","Y","Y","Y",2,0,6,20,100,120,140,42,840
"3237","SP2",2024-04-06,"Eldense","Andorra",0,2,"A",0,1,"A",2.28,3,3.47,"0-1","0-2",19,4,11,3,4,2,0,0,6,5,18,13,2,11,31,"6-5","Y","N","N",6,0,2,60,800,120,660,22,1320
"3248","SP2",2024-04-13,"Valladolid","Eldense",1,0,"H",0,0,"D",1.75,3.57,5.45,"0-0","1-0",19,5,10,2,2,2,0,0,7,4,4,12,1,11,16,"7-4","N","N","N",4,0,1,40,400,40,440,11,440
"3265","SP2",2024-04-21,"Eldense","Albacete",0,1,"A",0,0,"D",2.44,3.12,3.04,"0-0","0-1",12,4,8,2,2,1,0,0,8,3,17,8,1,11,25,"8-3","N","N","N",3,0,1,30,200,30,330,11,330
"3273","SP2",2024-04-28,"Alcorcon","Eldense",0,0,"D",0,0,"D",2.32,2.91,3.48,"0-0","0-0",12,4,8,1,2,2,0,0,3,2,11,16,0,5,27,"3-2","N","N","N",4,0,0,40,400,0,200,0,0
"3215","SP2",2024-03-23,"Villarreal B","Leganes",1,2,"A",1,0,"H",3.2,3.04,2.59,"1-0","1-2",7,3,19,9,2,2,0,0,3,3,10,16,3,6,26,"3-3","Y","Y","N",4,0,3,40,400,120,240,18,720
"3228","SP2",2024-03-30,"Leganes","Cartagena",0,0,"D",0,0,"D",1.64,3.6,6.69,"0-0","0-0",6,4,6,1,3,4,0,0,6,4,16,7,0,10,23,"6-4","N","N","N",7,0,0,70,1200,0,700,0,0
"3239","SP2",2024-04-07,"Huesca","Leganes",0,0,"D",0,0,"D",2.57,2.67,3.71,"0-0","0-0",6,2,5,1,4,6,0,0,6,2,14,14,0,8,28,"6-2","N","N","N",10,0,0,100,2400,0,800,0,0
"3246","SP2",2024-04-12,"Leganes","Espanol",0,0,"D",0,0,"D",2.48,2.85,3.58,"0-0","0-0",10,3,13,1,4,2,0,0,3,0,19,11,0,3,30,"3-0","N","N","N",6,0,0,60,800,0,180,0,0
"3257","SP2",2024-04-19,"Tenerife","Leganes",0,0,"D",0,0,"D",2.83,2.7,3.24,"0-0","0-0",3,0,8,3,3,0,0,0,6,2,18,15,0,8,33,"6-2","N","N","N",3,0,0,30,0,0,240,0,0
"3270","SP2",2024-04-27,"Leganes","Zaragoza",1,1,"D",0,0,"D",2.07,2.99,4.61,"0-0","1-1",3,2,17,4,2,2,0,0,5,3,14,18,2,8,32,"5-3","Y","N","N",4,0,2,40,400,80,320,16,640
"13","SP2",2024-04-27,"Leganes","Zaragoza",1,1,"D",0,0,"D",2.07,2.99,4.61,"0-0","1-1",3,2,17,4,2,2,0,0,5,3,14,18,2,8,32,"5-3","Y","N","N",4,0,1.5,49.1666666666667,633.333333333333,57.5,439.166666666667,14.25,612.5
