"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3263","SP2",2024-03-30,"Albacete","Huesca",1,1,"D",0,0,"D",2.21,2.95,4.11,"0-0","1-1",20,6,6,3,2,3,0,0,10,5,10,10,2,15,20,"10-5","Y","N","N",5,0,2,50,600,100,750,30,1500
"3273","SP2",2024-04-07,"Huesca","Leganes",0,0,"D",0,0,"D",2.57,2.67,3.71,"0-0","0-0",6,2,5,1,4,6,0,0,6,2,14,14,0,8,28,"6-2","N","N","N",10,0,0,100,2400,0,800,0,0
"3289","SP2",2024-04-14,"Ferrol","Huesca",2,1,"H",0,1,"A",2.3,2.7,3.92,"0-1","2-1",10,2,3,2,1,1,0,0,5,3,16,16,3,8,32,"5-3","Y","Y","N",2,0,3,20,100,60,160,24,480
"3296","SP2",2024-04-20,"Huesca","Zaragoza",1,2,"A",1,2,"A",2.63,2.61,3.37,"1-2","1-2",6,3,9,4,3,5,1,1,8,3,14,17,3,11,31,"8-3","Y","Y","N",8,2,3,130,4125,390,1430,33,4290
"3310","SP2",2024-04-28,"Valladolid","Huesca",1,0,"H",1,0,"H",1.61,3.46,6.42,"1-0","1-0",12,4,7,0,5,3,0,0,5,3,19,6,1,8,25,"5-3","N","N","N",8,0,1,80,1500,80,640,8,640
"3315","SP2",2024-05-04,"Huesca","Oviedo",0,2,"A",0,0,"D",3.01,2.74,2.98,"0-0","0-2",15,3,19,6,1,1,0,0,8,5,11,8,2,13,19,"8-5","Y","N","N",2,0,2,20,100,40,260,26,520
"3266","SP2",2024-03-31,"Ferrol","Elche",1,0,"H",0,0,"D",3.01,2.98,2.74,"0-0","1-0",11,4,7,3,2,5,0,0,0,7,10,11,1,7,21,"0-7","N","N","N",7,0,1,70,1000,70,490,7,490
"3269","SP2",2024-04-05,"Amorebieta","Ferrol",3,1,"H",2,0,"H",3.14,2.77,2.83,"2-0","3-1",6,4,14,3,1,1,0,0,4,6,15,15,4,10,30,"4-6","Y","Y","Y",2,0,4,20,100,80,200,40,800
"32891","SP2",2024-04-14,"Ferrol","Huesca",2,1,"H",0,1,"A",2.3,2.7,3.92,"0-1","2-1",10,2,3,2,1,1,0,0,5,3,16,16,3,8,32,"5-3","Y","Y","N",2,0,3,20,100,60,160,24,480
"3294","SP2",2024-04-20,"Villarreal B","Ferrol",1,0,"H",0,0,"D",2.47,3.05,3.05,"0-0","1-0",12,5,15,3,3,1,0,0,3,4,14,7,1,7,21,"3-4","N","N","N",4,0,1,40,300,40,280,7,280
"3312","SP2",2024-04-29,"Ferrol","Mirandes",0,2,"A",0,1,"A",2.13,3.09,4.05,"0-1","0-2",24,4,5,4,2,4,0,0,6,3,9,9,2,9,18,"6-3","Y","N","N",6,0,2,60,800,120,540,18,1080
"3323","SP2",2024-05-05,"Tenerife","Ferrol",2,0,"H",0,0,"D",2.15,2.97,3.85,"0-0","2-0",16,7,10,2,0,2,0,0,5,2,15,9,2,7,24,"5-2","Y","N","N",2,0,2,20,0,40,140,14,280
"13","SP2",2024-05-05,"Tenerife","Ferrol",2,0,"H",0,0,"D",2.15,2.97,3.85,"0-0","2-0",16,7,10,2,0,2,0,0,5,2,15,9,2,7,24,"5-2","Y","N","N",2,0,2,52.5,927.083333333333,90,487.5,19.25,903.333333333333
