"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"3213","SP2",2024-03-23,"Alcorcon","Oviedo",1,0,"H",0,0,"D",3.77,2.93,2.37,"0-0","1-0",11,6,11,2,2,2,0,0,3,3,17,8,1,6,25,"3-3","N","N","N",4,0,1,40,400,40,240,6,240
"3234","SP2",2024-03-31,"Oviedo","Villarreal B",2,1,"H",2,1,"H",1.55,4.23,6.53,"2-1","2-1",11,4,13,6,1,3,0,0,5,8,20,14,3,13,34,"5-8","Y","Y","N",4,0,3,40,300,120,520,39,1560
"3236","SP2",2024-04-05,"Elche","Oviedo",0,2,"A",0,1,"A",1.94,3.22,4.77,"0-1","0-2",21,6,8,4,2,5,0,0,9,4,14,13,2,13,27,"9-4","Y","N","N",7,0,2,70,1000,140,910,26,1820
"3250","SP2",2024-04-14,"Oviedo","Mirandes",1,1,"D",1,0,"H",1.6,3.81,6.67,"1-0","1-1",16,4,14,5,0,3,0,0,7,9,8,20,2,16,28,"7-9","Y","N","N",3,0,2,30,0,60,480,32,960
"3267","SP2",2024-04-22,"Cartagena","Oviedo",2,0,"H",0,0,"D",3.42,3.01,2.42,"0-0","2-0",20,8,9,2,2,4,0,1,5,2,13,18,2,7,31,"5-2","Y","N","N",6,1,2,85,1300,170,595,14,1190
"3274","SP2",2024-04-28,"Oviedo","Tenerife",0,1,"A",0,1,"A",1.85,3.16,4.83,"0-1","0-1",17,3,4,2,2,2,0,0,6,3,9,19,1,9,28,"6-3","N","N","N",4,0,1,40,400,40,360,9,360
"3221","SP2",2024-03-24,"Mirandes","Zaragoza",0,0,"D",0,0,"D",2.82,2.74,3.2,"0-0","0-0",12,3,10,3,3,2,0,0,5,3,11,9,0,8,20,"5-3","N","N","N",5,0,0,50,600,0,400,0,0
"3226","SP2",2024-03-30,"Andorra","Mirandes",1,0,"H",0,0,"D",1.93,3.25,4.75,"0-0","1-0",9,2,8,5,1,2,0,0,4,6,11,17,1,10,28,"4-6","N","N","N",3,0,1,30,200,30,300,10,300
"3240","SP2",2024-04-07,"Mirandes","Sp Gijon",1,3,"A",1,1,"D",2.54,2.93,3.08,"1-1","1-3",9,3,11,3,4,1,0,0,1,3,14,13,4,4,27,"1-3","Y","Y","Y",5,0,4,50,400,200,200,16,800
"32501","SP2",2024-04-14,"Oviedo","Mirandes",1,1,"D",1,0,"H",1.6,3.81,6.67,"1-0","1-1",16,4,14,5,0,3,0,0,7,9,8,20,2,16,28,"7-9","Y","N","N",3,0,2,30,0,60,480,32,960
"3266","SP2",2024-04-21,"Mirandes","Burgos",2,1,"H",0,0,"D",2.5,3.15,3.16,"0-0","2-1",11,5,6,2,1,4,0,0,6,3,11,11,3,9,22,"6-3","Y","Y","N",5,0,3,50,400,150,450,27,1350
"3278","SP2",2024-04-29,"Ferrol","Mirandes",0,2,"A",0,1,"A",2.13,3.09,4.05,"0-1","0-2",24,4,5,4,2,4,0,0,6,3,9,9,2,9,18,"6-3","Y","N","N",6,0,2,60,800,120,540,18,1080
"13","SP2",2024-04-29,"Ferrol","Mirandes",0,2,"A",0,1,"A",2.13,3.09,4.05,"0-1","0-2",24,4,5,4,2,4,0,0,6,3,9,9,2,9,18,"6-3","Y","N","N",6,0,1.91666666666667,47.9166666666667,483.333333333333,94.1666666666667,456.25,19.0833333333333,885
