"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"679","SP2",2024-08-31,"Almeria","Sp Gijon",1,1,"D",0,0,"D",1.71,3.7,5.04,"0-0","1-1",27,7,9,4,0,3,0,0,10,1,16,14,2,11,30,"10-1","Y","N","N",3,0,2,30,0,60,330,22,660
"690","SP2",2024-09-07,"Sp Gijon","Oviedo",3,1,"H",2,0,"H",2.2,3.02,3.77,"2-0","3-1",10,8,11,3,4,3,0,0,1,6,22,11,4,7,33,"1-6","Y","Y","Y",7,0,4,70,1200,280,490,28,1960
"702","SP2",2024-09-14,"Santander","Sp Gijon",1,0,"H",1,0,"H",2.09,3.36,3.59,"1-0","1-0",13,3,8,2,2,5,0,0,5,4,5,19,1,9,24,"5-4","N","N","N",7,0,1,70,1000,70,630,9,630
"714","SP2",2024-09-22,"Tenerife","Sp Gijon",1,1,"D",0,1,"A",2.37,2.88,3.56,"0-1","1-1",14,3,7,3,2,2,0,0,5,7,14,19,2,12,33,"5-7","Y","N","N",4,0,2,40,400,80,480,24,960
"723","SP2",2024-09-28,"Sp Gijon","Zaragoza",1,0,"H",1,0,"H",2.34,2.98,3.48,"1-0","1-0",22,8,7,2,0,5,0,2,5,5,9,9,1,10,18,"5-5","N","N","N",5,2,1,100,0,100,1000,10,1000
"733","SP2",2024-10-05,"Eibar","Sp Gijon",1,3,"A",1,2,"A",2.05,2.91,4.55,"1-2","1-3",15,8,11,5,4,4,0,0,2,5,9,15,4,7,24,"2-5","Y","Y","Y",8,0,4,80,1600,320,560,28,2240
"686","SP2",2024-09-02,"Elche","Cordoba",3,1,"H",1,0,"H",2.14,3.2,3.69,"1-0","3-1",18,5,5,2,0,2,0,0,5,4,4,23,4,9,27,"5-4","Y","Y","Y",2,0,4,20,0,80,180,36,720
"691","SP2",2024-09-07,"Cordoba","Malaga",0,0,"D",0,0,"D",2.14,3.16,3.73,"0-0","0-0",13,3,1,0,0,0,0,0,8,1,9,8,0,9,17,"8-1","N","N","N",0,0,0,0,0,0,0,0,0
"698","SP2",2024-09-13,"Cordoba","La Coruna",2,0,"H",1,0,"H",2.45,3.09,3.27,"1-0","2-0",16,6,15,5,0,0,0,0,6,4,18,5,2,10,23,"6-4","Y","N","N",0,0,2,0,0,0,0,20,0
"719","SP2",2024-09-23,"Huesca","Cordoba",4,1,"H",3,1,"H",2.75,2.72,3.14,"3-1","4-1",9,5,16,4,2,2,0,1,3,7,9,7,5,10,16,"3-7","Y","Y","Y",4,1,5,65,900,325,650,50,3250
"728","SP2",2024-09-29,"Cordoba","Ferrol",3,1,"H",1,0,"H",1.81,3.43,4.81,"1-0","3-1",23,5,8,3,3,2,0,0,6,4,21,17,4,10,38,"6-4","Y","Y","Y",5,0,4,50,600,200,500,40,2000
"741","SP2",2024-10-06,"Albacete","Cordoba",1,1,"D",1,0,"H",2.11,3.29,3.65,"1-0","1-1",19,5,11,3,1,2,0,0,8,3,9,12,2,11,21,"8-3","Y","N","N",3,0,2,30,200,60,330,22,660
"13","SP2",2024-10-06,"Albacete","Cordoba",1,1,"D",1,0,"H",2.11,3.29,3.65,"1-0","1-1",19,5,11,3,1,2,0,0,8,3,9,12,2,11,21,"8-3","Y","N","N",3,0,2.58333333333333,46.25,491.666666666667,131.25,429.166666666667,24.0833333333333,1173.33333333333
