"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1856","SP2",2023-11-24,"Huesca","Valladolid",0,1,"A",0,0,"D",3.34,2.93,2.59,"0-0","0-1",10,2,11,5,4,4,0,0,3,4,12,15,1,7,27,"3-4","N","N","N",8,0,1,80,1600,80,560,7,560
"1871","SP2",2023-12-02,"Levante","Valladolid",2,1,"H",2,1,"H",2.59,3.19,3.05,"2-1","2-1",19,7,11,3,4,3,0,0,12,6,16,13,3,18,29,"12-6","Y","Y","N",7,0,3,70,1200,210,1260,54,3780
"1880","SP2",2023-12-09,"Valladolid","Amorebieta",2,1,"H",0,1,"A",1.41,4.75,8.89,"0-1","2-1",12,6,7,3,1,3,0,0,4,4,7,18,3,8,25,"4-4","Y","Y","N",4,0,3,40,300,120,320,24,960
"1899","SP2",2023-12-18,"Villarreal B","Valladolid",1,0,"H",1,0,"H",3.61,3.45,2.14,"1-0","1-0",11,3,17,5,1,4,0,0,3,5,20,10,1,8,30,"3-5","N","N","N",5,0,1,50,400,50,400,8,400
"1910","SP2",2023-12-21,"Valladolid","Ferrol",0,1,"A",0,1,"A",2.06,3.33,4.11,"0-1","0-1",15,3,10,2,1,3,0,0,7,4,12,12,1,11,24,"7-4","N","N","N",4,0,1,40,300,40,440,11,440
"1916","SP2",2024-01-13,"Burgos","Valladolid",1,0,"H",1,0,"H",2.7,3.1,3,"1-0","1-0",7,2,20,2,5,2,0,0,5,9,13,10,1,14,23,"5-9","N","N","N",7,0,1,70,1000,70,980,14,980
"1865","SP2",2023-11-26,"Espanol","Alcorcon",2,0,"H",1,0,"H",1.48,4.55,7.34,"1-0","2-0",24,9,6,2,2,2,0,1,8,2,16,11,2,10,27,"8-2","Y","N","N",4,1,2,65,900,130,650,20,1300
"1867","SP2",2023-12-01,"Oviedo","Espanol",2,0,"H",1,0,"H",2.83,2.84,3.11,"1-0","2-0",16,5,7,2,5,3,0,0,7,4,16,24,2,11,40,"7-4","Y","N","N",8,0,2,80,1500,160,880,22,1760
"1879","SP2",2023-12-08,"Espanol","Zaragoza",1,1,"D",0,0,"D",1.84,3.55,4.89,"0-0","1-1",8,1,10,2,2,3,1,0,4,6,15,17,2,10,32,"4-6","Y","N","N",5,1,2,75,1350,150,750,20,1500
"1891","SP2",2023-12-16,"Andorra","Espanol",1,1,"D",0,0,"D",3.21,3.13,2.52,"0-0","1-1",14,3,6,1,1,4,0,0,6,2,10,19,2,8,29,"6-2","Y","N","N",5,0,2,50,400,100,400,16,800
"1903","SP2",2023-12-19,"Espanol","Burgos",3,3,"D",1,2,"A",1.73,3.65,5.61,"1-2","3-3",14,7,12,6,3,2,0,0,6,6,8,12,6,12,20,"6-6","Y","Y","Y",5,0,6,50,600,300,600,72,3600
"1917","SP2",2024-01-13,"Ferrol","Espanol",0,0,"D",0,0,"D",2.55,3.22,3.08,"0-0","0-0",6,1,8,1,2,3,0,0,5,8,11,14,0,13,25,"5-8","N","N","N",5,0,0,50,600,0,650,0,0
"13","SP2",2024-01-13,"Ferrol","Espanol",0,0,"D",0,0,"D",2.55,3.22,3.08,"0-0","0-0",6,1,8,1,2,3,0,0,5,8,11,14,0,13,25,"5-8","N","N","N",5,0,2,60,845.833333333333,117.5,657.5,22.3333333333333,1340
