"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1390","SP2",2023-10-29,"Leganes","Villarreal B",1,0,"H",0,0,"D",1.76,3.86,4.94,"0-0","1-0",10,5,8,3,2,2,0,1,7,0,11,16,1,7,27,"7-0","N","N","N",4,1,1,65,900,65,455,7,455
"1395","SP2",2023-11-04,"Villarreal B","Sp Gijon",0,3,"A",0,1,"A",2.82,3.41,2.63,"0-1","0-3",22,6,10,6,0,0,0,0,9,4,15,9,3,13,24,"9-4","Y","Y","N",0,0,3,0,0,0,0,39,0
"1413","SP2",2023-11-12,"Tenerife","Villarreal B",0,1,"A",0,1,"A",1.63,3.96,5.93,"0-1","0-1",20,5,13,6,3,5,0,1,8,4,15,14,1,12,29,"8-4","N","N","N",8,1,1,105,2250,105,1260,12,1260
"1425","SP2",2023-11-19,"Villarreal B","Andorra",0,0,"D",0,0,"D",2.54,3.46,2.9,"0-0","0-0",12,2,15,5,2,1,0,0,2,7,12,7,0,9,19,"2-7","N","N","N",3,0,0,30,200,0,270,0,0
"1429","SP2",2023-11-25,"Santander","Villarreal B",2,0,"H",1,0,"H",1.75,4.03,4.77,"1-0","2-0",10,4,7,0,3,4,0,0,4,3,17,20,2,7,37,"4-3","Y","N","N",7,0,2,70,1200,140,490,14,980
"1448","SP2",2023-12-04,"Villarreal B","Eibar",1,0,"H",0,0,"D",3.86,3.69,1.98,"0-0","1-0",26,8,6,0,1,0,0,1,9,0,10,6,1,9,16,"9-0","N","N","N",1,1,1,35,250,35,315,9,315
"1393","SP2",2023-10-30,"Burgos","Zaragoza",1,1,"D",0,1,"A",2.55,2.99,3.26,"0-1","1-1",10,2,8,5,2,2,0,0,4,1,17,16,2,5,33,"4-1","Y","N","N",4,0,2,40,400,80,200,10,400
"1403","SP2",2023-11-05,"Eldense","Burgos",2,0,"H",1,0,"H",2.42,2.97,3.6,"1-0","2-0",15,5,9,2,2,2,0,0,7,7,11,8,2,14,19,"7-7","Y","N","N",4,0,2,40,400,80,560,28,1120
"1410","SP2",2023-11-12,"Burgos","Alcorcon",4,2,"H",0,2,"A",2.14,3.16,4.1,"0-2","4-2",15,7,9,3,1,0,0,0,5,2,14,7,6,7,21,"5-2","Y","Y","Y",1,0,6,10,0,60,70,42,420
"1421","SP2",2023-11-19,"Ferrol","Burgos",1,1,"D",0,0,"D",2.13,3.09,3.79,"0-0","1-1",13,5,9,2,1,5,0,0,3,4,13,11,2,7,24,"3-4","Y","N","N",6,0,2,60,500,120,420,14,840
"1428","SP2",2023-11-25,"Burgos","Andorra",0,0,"D",0,0,"D",2.21,3.29,3.68,"0-0","0-0",11,2,7,1,1,1,0,0,3,3,7,13,0,6,20,"3-3","N","N","N",2,0,0,20,100,0,120,0,0
"1447","SP2",2023-12-03,"Amorebieta","Burgos",0,1,"A",0,1,"A",2.73,2.96,2.86,"0-1","0-1",14,3,6,4,2,0,0,0,7,6,10,7,1,13,17,"7-6","N","N","N",2,0,1,20,0,20,260,13,260
"13","SP2",2023-12-03,"Amorebieta","Burgos",0,1,"A",0,1,"A",2.73,2.96,2.86,"0-1","0-1",14,3,6,4,2,0,0,0,7,6,10,7,1,13,17,"7-6","N","N","N",2,0,1.75,41.25,516.666666666667,58.75,368.333333333333,15.6666666666667,504.166666666667
