"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2734","T1",2023-10-22,"Istanbulspor","Ankaragucu",2,1,"H",1,1,"D",3.32,3.59,2.22,"1-1","2-1",7,3,9,1,0,3,0,0,2,5,14,14,3,7,28,"2-5","Y","Y","N",3,0,3,30,0,90,210,21,630
"2745","T1",2023-10-29,"Ankaragucu","Samsunspor",2,0,"H",0,0,"D",2.39,3.51,3.07,"0-0","2-0",12,5,3,2,0,2,0,0,4,6,8,14,2,10,22,"4-6","Y","N","N",2,0,2,20,0,40,200,20,400
"2754","T1",2023-11-05,"Buyuksehyr","Ankaragucu",3,3,"D",2,2,"D",2.2,3.41,3.58,"2-2","3-3",9,4,10,5,2,0,0,0,1,3,7,12,6,4,19,"1-3","Y","Y","Y",2,0,6,20,0,120,80,24,480
"2760","T1",2023-11-10,"Ankaragucu","Antalyaspor",0,4,"A",0,2,"A",2.54,3.36,2.98,"0-2","0-4",10,2,21,9,3,0,0,0,2,5,9,11,4,7,20,"2-5","Y","Y","Y",3,0,4,30,0,120,210,28,840
"2771","T1",2023-11-25,"Gaziantep","Ankaragucu",0,1,"A",0,1,"A",2.19,3.39,3.6,"0-1","0-1",9,2,12,5,4,5,0,0,2,4,8,19,1,6,27,"2-4","N","N","N",9,0,1,90,2000,90,540,6,540
"2788","T1",2023-12-03,"Ankaragucu","Besiktas",1,1,"D",1,0,"H",3.47,3.61,2.16,"1-0","1-1",11,4,9,4,1,1,0,0,1,5,19,10,2,6,29,"1-5","Y","N","N",2,0,2,20,100,40,120,12,240
"2729","T1",2023-10-21,"Kayserispor","Rizespor",3,1,"H",1,0,"H",2.28,3.33,3.17,"1-0","3-1",20,7,12,3,5,2,0,0,5,2,13,12,4,7,25,"5-2","Y","Y","Y",7,0,4,70,1000,280,490,28,1960
"2743","T1",2023-10-28,"Rizespor","Galatasaray",0,1,"A",0,0,"D",5.88,4.68,1.54,"0-0","0-1",11,3,20,5,2,2,0,0,6,5,14,11,1,11,25,"6-5","N","N","N",4,0,1,40,400,40,440,11,440
"2757","T1",2023-11-06,"Gaziantep","Rizespor",2,0,"H",1,0,"H",2.31,3.47,3.2,"1-0","2-0",9,5,14,2,3,1,0,0,3,5,8,8,2,8,16,"3-5","Y","N","N",4,0,2,40,300,80,320,16,640
"2768","T1",2023-11-12,"Rizespor","Istanbulspor",1,0,"H",1,0,"H",1.76,3.99,4.72,"1-0","1-0",8,3,7,0,1,0,0,0,6,6,17,7,1,12,24,"6-6","N","N","N",1,0,1,10,0,10,120,12,120
"2775","T1",2023-11-26,"Antalyaspor","Rizespor",0,0,"D",0,0,"D",1.86,3.7,4.5,"0-0","0-0",16,10,8,3,1,5,0,0,6,4,12,17,0,10,29,"6-4","N","N","N",6,0,0,60,500,0,600,0,0
"2783","T1",2023-12-02,"Rizespor","Buyuksehyr",3,2,"H",2,2,"D",2.5,3.34,3.05,"2-2","3-2",19,7,16,9,2,3,0,0,6,5,10,13,5,11,23,"6-5","Y","Y","Y",5,0,5,50,600,250,550,55,2750
"13","T1",2023-12-02,"Rizespor","Buyuksehyr",3,2,"H",2,2,"D",2.5,3.34,3.05,"2-2","3-2",19,7,16,9,2,3,0,0,6,5,10,13,5,11,23,"6-5","Y","Y","Y",5,0,2.58333333333333,40,408.333333333333,96.6666666666667,323.333333333333,19.4166666666667,753.333333333333
