"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6304","T1",2025-03-29,"Besiktas","Galatasaray",2,1,"H",1,1,"D",3.03,3.5,2.17,"1-1","2-1",20,6,9,3,3,3,1,1,9,3,14,23,3,12,37,"9-3","Y","Y","N",6,2,3,110,3025,330,1320,36,3960
"6314","T1",2025-04-07,"Kasimpasa","Besiktas",1,1,"D",1,0,"H",3.26,3.37,2.11,"1-0","1-1",18,4,8,2,5,1,0,1,4,5,11,5,2,9,16,"4-5","Y","N","N",6,1,2,85,1750,170,765,18,1530
"6317","T1",2025-04-12,"Besiktas","Buyuksehyr",0,2,"A",0,0,"D",1.92,3.59,3.96,"0-0","0-2",12,3,8,4,1,0,0,0,3,6,16,12,2,9,28,"3-6","Y","N","N",1,0,2,10,0,20,90,18,180
"6328","T1",2025-04-19,"Goztep","Besiktas",1,1,"D",0,1,"A",2.64,3.35,2.69,"0-1","1-1",16,7,7,2,3,1,0,0,5,3,12,10,2,8,22,"5-3","Y","N","N",4,0,2,40,300,80,320,16,640
"6333","T1",2025-04-25,"Besiktas","Hatayspor",5,1,"H",1,1,"D",1.24,6.78,10.87,"1-1","5-1",16,8,15,6,0,1,0,0,4,4,7,7,6,8,14,"4-4","Y","Y","Y",1,0,6,10,0,60,80,48,480
"6349","T1",2025-05-04,"Fenerbahce","Besiktas",0,1,"A",0,1,"A",1.53,4.58,5.44,"0-1","0-1",17,7,8,4,3,4,0,0,8,5,13,20,1,13,33,"8-5","N","N","N",7,0,1,70,1200,70,910,13,910
"6301","T1",2025-03-29,"Sivasspor","Ad. Demirspor",5,1,"H",2,1,"H",1.35,5.33,8.4,"2-1","5-1",12,6,7,3,3,1,0,0,3,6,13,8,6,9,21,"3-6","Y","Y","Y",4,0,6,40,300,240,360,54,2160
"6306","T1",2025-04-04,"Ad. Demirspor","Kayserispor",0,2,"A",0,1,"A",7.28,5.34,1.4,"0-1","0-2",12,3,10,7,3,3,0,1,7,7,10,14,2,14,24,"7-7","Y","N","N",6,1,2,85,1650,170,1190,28,2380
"6323","T1",2025-04-14,"Eyupspor","Ad. Demirspor",6,0,"H",3,0,"H",1.15,7.94,15.74,"3-0","6-0",20,10,9,2,3,2,0,0,5,7,12,6,6,12,18,"5-7","Y","Y","Y",5,0,6,50,600,300,600,72,3600
"6327","T1",2025-04-19,"Ad. Demirspor","Trabzonspor",0,1,"A",0,1,"A",13.52,7.3,1.18,"0-1","0-1",6,1,9,3,1,0,0,0,2,4,9,12,1,6,21,"2-4","N","N","N",1,0,1,10,0,10,60,6,60
"6337","T1",2025-04-27,"Konyaspor","Ad. Demirspor",3,1,"H",0,1,"A",1.16,7.5,13.85,"0-1","3-1",26,8,6,3,3,3,0,0,11,0,12,7,4,11,19,"11-0","Y","Y","Y",6,0,4,60,900,240,660,44,2640
"6348","T1",2025-05-04,"Ad. Demirspor","Goztep",1,2,"A",1,2,"A",8.78,6.32,1.22,"1-2","1-2",12,3,15,6,3,3,0,0,3,4,8,26,3,7,34,"3-4","Y","Y","N",6,0,3,60,900,180,420,21,1260
"13","T1",2025-05-04,"Ad. Demirspor","Goztep",1,2,"A",1,2,"A",8.78,6.32,1.22,"1-2","1-2",12,3,15,6,3,3,0,0,3,4,8,26,3,7,34,"3-4","Y","Y","N",6,0,3.16666666666667,52.5,885.416666666667,155.833333333333,564.583333333333,31.1666666666667,1650
