"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6425","T1",2024-03-16,"Besiktas","Antalyaspor",1,2,"A",0,2,"A",1.97,3.56,4.15,"0-2","1-2",20,7,10,2,2,3,0,0,8,5,11,14,3,13,25,"8-5","Y","Y","N",5,0,3,50,600,150,650,39,1950
"6438","T1",2024-04-04,"Buyuksehyr","Besiktas",1,1,"D",0,1,"A",2.57,3.34,2.9,"0-1","1-1",19,4,7,2,3,3,0,0,9,4,14,25,2,13,39,"9-4","Y","N","N",6,0,2,60,900,120,780,26,1560
"6444","T1",2024-04-13,"Besiktas","Samsunspor",1,1,"D",1,0,"H",1.79,3.73,4.73,"1-0","1-1",17,4,11,3,1,2,0,0,0,2,14,17,2,2,31,"0-2","Y","N","N",3,0,2,30,200,60,60,4,120
"6450","T1",2024-04-19,"Besiktas","Ankaragucu",2,0,"H",1,0,"H",1.84,3.78,4.39,"1-0","2-0",17,5,17,2,2,2,0,0,8,6,12,13,2,14,25,"8-6","Y","N","N",4,0,2,40,400,80,560,28,1120
"6463","T1",2024-04-27,"Fenerbahce","Besiktas",2,1,"H",1,0,"H",1.46,5,6.51,"1-0","2-1",13,6,6,4,1,3,0,1,4,2,14,18,3,6,32,"4-2","Y","Y","N",4,1,3,65,550,195,390,18,1170
"6471","T1",2024-05-03,"Besiktas","Rizespor",3,2,"H",1,1,"D",1.81,3.99,4.33,"1-1","3-2",24,7,9,5,2,3,0,0,7,3,14,10,5,10,24,"7-3","Y","Y","Y",5,0,5,50,600,250,500,50,2500
"6427","T1",2024-03-17,"Hatayspor","Samsunspor",3,0,"H",1,0,"H",3.1,3.27,2.51,"1-0","3-0",9,3,12,2,4,1,0,0,0,7,13,9,3,7,22,"0-7","Y","Y","N",5,0,3,50,400,150,350,21,1050
"6432","T1",2024-04-02,"Galatasaray","Hatayspor",1,0,"H",1,0,"H",1.17,8.01,16.15,"1-0","1-0",17,2,9,2,2,2,0,0,8,5,16,8,1,13,24,"8-5","N","N","N",4,0,1,40,400,40,520,13,520
"6446","T1",2024-04-14,"Hatayspor","Istanbulspor",0,3,"A",0,0,"D",1.44,4.63,7.88,"0-0","0-3",12,2,15,7,2,0,0,0,4,7,17,9,3,11,26,"4-7","Y","Y","N",2,0,3,20,0,60,220,33,660
"6456","T1",2024-04-21,"Antalyaspor","Hatayspor",2,1,"H",0,1,"A",1.94,3.5,4.27,"0-1","2-1",12,4,12,6,4,3,0,0,0,3,12,14,3,3,26,"0-3","Y","Y","N",7,0,3,70,1200,210,210,9,630
"6464","T1",2024-04-27,"Hatayspor","Buyuksehyr",1,2,"A",0,1,"A",3.01,3.41,2.45,"0-1","1-2",23,8,7,4,1,3,0,0,6,0,12,20,3,6,32,"6-0","Y","Y","N",4,0,3,40,300,120,240,18,720
"6477","T1",2024-05-05,"Gaziantep","Hatayspor",1,1,"D",1,1,"D",2.25,3.29,3.49,"1-1","1-1",14,5,17,5,2,5,0,0,8,3,15,13,2,11,28,"8-3","Y","N","N",7,0,2,70,1000,140,770,22,1540
"13","T1",2024-05-05,"Gaziantep","Hatayspor",1,1,"D",1,1,"D",2.25,3.29,3.49,"1-1","1-1",14,5,17,5,2,5,0,0,8,3,15,13,2,11,28,"8-3","Y","N","N",7,0,2.66666666666667,48.75,545.833333333333,131.25,437.5,23.4166666666667,1128.33333333333
