"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4691","T1",2024-01-24,"Gaziantep","Konyaspor",1,1,"D",1,1,"D",2.2,3.51,3.47,"1-1","1-1",8,1,7,4,2,2,0,0,3,5,19,13,2,8,32,"3-5","Y","N","N",4,0,2,40,400,80,320,16,640
"4705","T1",2024-01-29,"Galatasaray","Gaziantep",2,1,"H",0,1,"A",1.19,7.78,14.1,"0-1","2-1",33,9,6,4,1,5,0,0,13,2,7,10,3,15,17,"13-2","Y","Y","N",6,0,3,60,500,180,900,45,2700
"4713","T1",2024-02-03,"Gaziantep","Kayserispor",1,1,"D",0,1,"A",2.24,3.46,3.41,"0-1","1-1",12,3,15,4,2,4,0,0,9,4,10,12,2,13,22,"9-4","Y","N","N",6,0,2,60,800,120,780,26,1560
"4721","T1",2024-02-11,"Istanbulspor","Gaziantep",1,3,"A",1,1,"D",2.88,3.41,2.58,"1-1","1-3",3,1,8,5,4,2,1,0,3,3,14,12,4,6,26,"3-3","Y","Y","Y",6,1,4,85,1300,340,510,24,2040
"4732","T1",2024-02-18,"Gaziantep","Samsunspor",1,1,"D",0,0,"D",2.56,3.32,2.98,"0-0","1-1",12,2,10,5,3,3,0,0,2,4,13,17,2,6,30,"2-4","Y","N","N",6,0,2,60,900,120,360,12,720
"4739","T1",2024-02-24,"Gaziantep","Buyuksehyr",0,2,"A",0,0,"D",2.81,3.23,2.76,"0-0","0-2",13,6,4,4,1,3,0,0,5,0,13,12,2,5,25,"5-0","Y","N","N",4,0,2,40,300,80,200,10,400
"4688","T1",2024-01-23,"Besiktas","Ad. Demirspor",0,0,"D",0,0,"D",1.81,4.01,4.39,"0-0","0-0",20,7,6,0,4,4,0,1,8,2,13,10,0,10,23,"8-2","N","N","N",8,1,0,105,2600,0,1050,0,0
"4698","T1",2024-01-27,"Ad. Demirspor","Hatayspor",0,1,"A",0,1,"A",1.97,3.77,3.91,"0-1","0-1",13,0,4,2,5,4,1,0,5,3,12,24,1,8,36,"5-3","N","N","N",9,1,1,115,3000,115,920,8,920
"4714","T1",2024-02-04,"Pendikspor","Ad. Demirspor",2,1,"H",2,0,"H",2.28,3.68,3.15,"2-0","2-1",16,5,16,6,3,1,1,0,7,6,20,7,3,13,27,"7-6","Y","Y","N",4,1,3,65,550,195,845,39,2535
"4717","T1",2024-02-09,"Ad. Demirspor","Kasimpasa",1,3,"A",0,2,"A",2.31,3.7,3.07,"0-2","1-3",23,4,13,7,5,3,0,0,7,4,15,11,4,11,26,"7-4","Y","Y","Y",8,0,4,80,1500,320,880,44,3520
"4731","T1",2024-02-18,"Alanyaspor","Ad. Demirspor",3,3,"D",2,0,"H",2.04,3.73,3.71,"2-0","3-3",8,6,19,9,4,1,0,0,3,6,12,15,6,9,27,"3-6","Y","Y","Y",5,0,6,50,400,300,450,54,2700
"4744","T1",2024-02-25,"Trabzonspor","Ad. Demirspor",1,0,"H",1,0,"H",1.79,3.88,4.65,"1-0","1-0",19,7,12,3,2,3,0,1,4,5,16,16,1,9,32,"4-5","N","N","N",5,1,1,75,1100,75,675,9,675
"13","T1",2024-02-25,"Trabzonspor","Ad. Demirspor",1,0,"H",1,0,"H",1.79,3.88,4.65,"1-0","1-0",19,7,12,3,2,3,0,1,4,5,16,16,1,9,32,"4-5","N","N","N",5,1,2.5,69.5833333333333,1112.5,160.416666666667,657.5,23.9166666666667,1534.16666666667
