"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6421","T1",2024-03-15,"Pendikspor","Istanbulspor",1,0,"H",0,0,"D",1.6,4.43,5.5,"0-0","1-0",19,5,3,1,1,6,0,1,6,2,12,20,1,8,32,"6-2","N","N","N",7,1,1,95,850,95,760,8,760
"6430","T1",2024-04-02,"Istanbulspor","Rizespor",0,4,"A",0,2,"A",4.53,3.89,1.79,"0-2","0-4",7,3,20,11,4,2,0,0,2,6,10,13,4,8,23,"2-6","Y","Y","Y",6,0,4,60,800,240,480,32,1920
"6446","T1",2024-04-14,"Hatayspor","Istanbulspor",0,3,"A",0,0,"D",1.44,4.63,7.88,"0-0","0-3",12,2,15,7,2,0,0,0,4,7,17,9,3,11,26,"4-7","Y","Y","N",2,0,3,20,0,60,220,33,660
"6451","T1",2024-04-20,"Istanbulspor","Karagumruk",1,2,"A",0,0,"D",5.13,4.23,1.65,"0-0","1-2",13,5,24,5,3,3,0,0,1,7,11,15,3,8,26,"1-7","Y","Y","N",6,0,3,60,900,180,480,24,1440
"6465","T1",2024-04-28,"Alanyaspor","Istanbulspor",6,0,"H",3,0,"H",1.38,5.31,8.09,"3-0","6-0",18,7,10,5,1,4,0,0,4,3,12,10,6,7,22,"4-3","Y","Y","Y",5,0,6,50,400,300,350,42,2100
"6472","T1",2024-05-04,"Istanbulspor","Ad. Demirspor",0,1,"A",0,1,"A",5.29,4.53,1.59,"0-1","0-1",14,5,14,4,3,2,0,0,7,5,9,15,1,12,24,"7-5","N","N","N",5,0,1,50,600,50,600,12,600
"6424","T1",2024-03-16,"Ad. Demirspor","Sivasspor",4,1,"H",1,0,"H",1.84,3.51,4.96,"1-0","4-1",13,7,6,2,3,2,1,0,3,6,11,13,5,9,24,"3-6","Y","Y","Y",5,1,5,75,1100,375,675,45,3375
"6434","T1",2024-04-03,"Sivasspor","Karagumruk",1,0,"H",0,0,"D",2.62,3.21,2.94,"0-0","1-0",15,6,18,6,1,4,0,0,6,7,12,13,1,13,25,"6-7","N","N","N",5,0,1,50,400,50,650,13,650
"6440","T1",2024-04-12,"Trabzonspor","Sivasspor",0,1,"A",0,0,"D",1.48,4.38,7.46,"0-0","0-1",22,5,10,5,3,3,0,0,14,4,14,11,1,18,25,"14-4","N","N","N",6,0,1,60,900,60,1080,18,1080
"6459","T1",2024-04-22,"Sivasspor","Fenerbahce",2,2,"D",0,1,"A",7.15,5.11,1.41,"0-1","2-2",9,4,15,6,4,1,0,0,3,2,6,11,4,5,17,"3-2","Y","Y","Y",5,0,4,50,400,200,250,20,1000
"6462","T1",2024-04-27,"Sivasspor","Konyaspor",1,0,"H",0,0,"D",2.54,3.2,3.06,"0-0","1-0",7,2,7,2,2,2,0,0,1,6,12,11,1,7,23,"1-6","N","N","N",4,0,1,40,400,40,280,7,280
"6476","T1",2024-05-05,"Galatasaray","Sivasspor",6,1,"H",2,0,"H",1.15,9.26,16.72,"2-0","6-1",23,9,9,3,0,3,0,0,5,1,13,12,7,6,25,"5-1","Y","Y","Y",3,0,7,30,0,210,180,42,1260
"13","T1",2024-05-05,"Galatasaray","Sivasspor",6,1,"H",2,0,"H",1.15,9.26,16.72,"2-0","6-1",23,9,9,3,0,3,0,0,5,1,13,12,7,6,25,"5-1","Y","Y","Y",3,0,3.08333333333333,53.3333333333333,562.5,155,500.416666666667,24.6666666666667,1260.41666666667
