"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4894","T1",2024-01-29,"Kayserispor","Antalyaspor",1,1,"D",0,1,"A",3.02,3.53,2.39,"0-1","1-1",15,5,13,3,2,1,0,0,6,7,13,12,2,13,25,"6-7","Y","N","N",3,0,2,30,200,60,390,26,780
"4903","T1",2024-02-03,"Gaziantep","Kayserispor",1,1,"D",0,1,"A",2.24,3.46,3.41,"0-1","1-1",12,3,15,4,2,4,0,0,9,4,10,12,2,13,22,"9-4","Y","N","N",6,0,2,60,800,120,780,26,1560
"4915","T1",2024-02-12,"Kayserispor","Besiktas",0,0,"D",0,0,"D",3.76,3.78,1.98,"0-0","0-0",14,4,6,1,3,0,0,0,7,3,17,9,0,10,26,"7-3","N","N","N",3,0,0,30,0,0,300,0,0
"4926","T1",2024-02-19,"Buyuksehyr","Kayserispor",2,3,"A",0,2,"A",1.75,3.63,5.26,"0-2","2-3",18,8,14,7,2,4,0,0,7,3,7,26,5,10,33,"7-3","Y","Y","Y",6,0,5,60,800,300,600,50,3000
"4928","T1",2024-02-24,"Kayserispor","Ankaragucu",3,2,"H",0,2,"A",2.26,3.47,3.37,"0-2","3-2",10,4,9,5,4,3,0,0,4,3,10,13,5,7,23,"4-3","Y","Y","Y",7,0,5,70,1200,350,490,35,2450
"4939","T1",2024-03-02,"Rizespor","Kayserispor",3,0,"H",0,0,"D",2.01,3.57,3.97,"0-0","3-0",21,8,14,6,1,3,0,0,3,2,11,13,3,5,24,"3-2","Y","Y","N",4,0,3,40,300,120,200,15,600
"4888","T1",2024-01-27,"Ad. Demirspor","Hatayspor",0,1,"A",0,1,"A",1.97,3.77,3.91,"0-1","0-1",13,0,4,2,5,4,1,0,5,3,12,24,1,8,36,"5-3","N","N","N",9,1,1,115,3000,115,920,8,920
"4898","T1",2024-02-02,"Hatayspor","Karagumruk",3,1,"H",1,0,"H",3.04,3.12,2.65,"1-0","3-1",5,3,18,4,0,2,0,0,4,5,14,7,4,9,21,"4-5","Y","Y","Y",2,0,4,20,0,80,180,36,720
"4914","T1",2024-02-12,"Trabzonspor","Hatayspor",2,0,"H",0,0,"D",1.79,3.63,4.91,"0-0","2-0",23,11,11,2,2,1,0,0,10,5,10,9,2,15,19,"10-5","Y","N","N",3,0,2,30,200,60,450,30,900
"4919","T1",2024-02-17,"Hatayspor","Sivasspor",1,1,"D",0,1,"A",2.38,3.32,3.26,"0-1","1-1",15,6,4,2,1,1,0,0,6,2,14,10,2,8,24,"6-2","Y","N","N",2,0,2,20,100,40,160,16,320
"4931","T1",2024-02-24,"Konyaspor","Hatayspor",2,0,"H",0,0,"D",2.34,3.23,3.43,"0-0","2-0",13,4,7,4,6,3,0,0,4,3,8,15,2,7,23,"4-3","Y","N","N",9,0,2,90,1800,180,630,14,1260
"4940","T1",2024-03-02,"Hatayspor","Fenerbahce",0,2,"A",0,2,"A",10.4,5.7,1.32,"0-2","0-2",10,1,14,6,1,5,0,0,3,4,14,14,2,7,28,"3-4","Y","N","N",6,0,2,60,500,120,420,14,840
"13","T1",2024-03-02,"Hatayspor","Fenerbahce",0,2,"A",0,2,"A",10.4,5.7,1.32,"0-2","0-2",10,1,14,6,1,5,0,0,3,4,14,14,2,7,28,"3-4","Y","N","N",6,0,2.5,52.0833333333333,741.666666666667,128.75,460,22.5,1112.5
