"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6281","T1",2024-03-10,"Kayserispor","Hatayspor",1,1,"D",1,1,"D",1.97,3.52,3.75,"1-1","1-1",18,3,5,1,3,3,1,0,3,2,10,13,2,5,23,"3-2","Y","N","N",6,1,2,85,1650,170,425,10,850
"6288","T1",2024-03-16,"Alanyaspor","Kayserispor",1,0,"H",0,0,"D",2.19,3.44,3.57,"0-0","1-0",8,3,13,3,1,3,0,0,0,3,11,18,1,3,29,"0-3","N","N","N",4,0,1,40,300,40,120,3,120
"6302","T1",2024-04-03,"Kayserispor","Kasimpasa",0,2,"A",0,1,"A",2.2,3.72,3.22,"0-1","0-2",14,3,12,3,3,2,1,0,6,4,14,5,2,10,19,"6-4","Y","N","N",5,1,2,75,1100,150,750,20,1500
"6309","T1",2024-04-13,"Ad. Demirspor","Kayserispor",0,0,"D",0,0,"D",2,3.67,3.83,"0-0","0-0",27,6,13,4,0,1,0,0,9,2,6,12,0,11,18,"9-2","N","N","N",1,0,0,10,0,0,110,0,0
"6319","T1",2024-04-20,"Kayserispor","Trabzonspor",1,2,"A",0,1,"A",3.15,3.91,2.17,"0-1","1-2",17,3,9,3,0,3,0,0,4,1,13,4,3,5,17,"4-1","Y","Y","N",3,0,3,30,0,90,150,15,450
"6332","T1",2024-04-28,"Pendikspor","Kayserispor",1,2,"A",1,1,"D",2.17,3.56,3.42,"1-1","1-2",21,4,10,2,2,4,0,1,5,5,12,14,3,10,26,"5-5","Y","Y","N",6,1,3,85,1300,255,850,30,2550
"6280","T1",2024-03-09,"Trabzonspor","Karagumruk",5,1,"H",1,1,"D",1.78,3.56,4.67,"1-1","5-1",27,12,6,2,0,3,0,0,8,2,10,13,6,10,23,"8-2","Y","Y","Y",3,0,6,30,0,180,300,60,1800
"6295","T1",2024-03-17,"Trabzonspor","Fenerbahce",2,3,"A",0,2,"A",4.74,4.12,1.74,"0-2","2-3",7,3,7,5,5,3,0,0,10,2,13,18,5,12,31,"10-2","Y","Y","Y",8,0,5,80,1500,400,960,60,4800
"6303","T1",2024-04-03,"Konyaspor","Trabzonspor",1,3,"A",0,1,"A",3.67,3.36,2.15,"0-1","1-3",14,5,7,3,3,3,0,0,6,4,11,10,4,10,21,"6-4","Y","Y","Y",6,0,4,60,900,240,600,40,2400
"6306","T1",2024-04-12,"Trabzonspor","Sivasspor",0,1,"A",0,0,"D",1.48,4.38,7.46,"0-0","0-1",22,5,10,5,3,3,0,0,14,4,14,11,1,18,25,"14-4","N","N","N",6,0,1,60,900,60,1080,18,1080
"63191","T1",2024-04-20,"Kayserispor","Trabzonspor",1,2,"A",0,1,"A",3.15,3.91,2.17,"0-1","1-2",17,3,9,3,0,3,0,0,4,1,13,4,3,5,17,"4-1","Y","Y","N",3,0,3,30,0,90,150,15,450
"6334","T1",2024-04-28,"Trabzonspor","Gaziantep",4,2,"H",0,2,"A",1.48,4.56,7.06,"0-2","4-2",12,7,14,3,2,2,0,0,4,2,12,12,6,6,24,"4-2","Y","Y","Y",4,0,6,40,400,240,240,36,1440
"13","T1",2024-04-28,"Trabzonspor","Gaziantep",4,2,"H",0,2,"A",1.48,4.56,7.06,"0-2","4-2",12,7,14,3,2,2,0,0,4,2,12,12,6,6,24,"4-2","Y","Y","Y",4,0,3,52.0833333333333,670.833333333333,159.583333333333,477.916666666667,25.5833333333333,1453.33333333333
