"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"2729","T1",2023-10-21,"Kayserispor","Rizespor",3,1,"H",1,0,"H",2.28,3.33,3.17,"1-0","3-1",20,7,12,3,5,2,0,0,5,2,13,12,4,7,25,"5-2","Y","Y","Y",7,0,4,70,1000,280,490,28,1960
"2743","T1",2023-10-28,"Rizespor","Galatasaray",0,1,"A",0,0,"D",5.88,4.68,1.54,"0-0","0-1",11,3,20,5,2,2,0,0,6,5,14,11,1,11,25,"6-5","N","N","N",4,0,1,40,400,40,440,11,440
"2757","T1",2023-11-06,"Gaziantep","Rizespor",2,0,"H",1,0,"H",2.31,3.47,3.2,"1-0","2-0",9,5,14,2,3,1,0,0,3,5,8,8,2,8,16,"3-5","Y","N","N",4,0,2,40,300,80,320,16,640
"2768","T1",2023-11-12,"Rizespor","Istanbulspor",1,0,"H",1,0,"H",1.76,3.99,4.72,"1-0","1-0",8,3,7,0,1,0,0,0,6,6,17,7,1,12,24,"6-6","N","N","N",1,0,1,10,0,10,120,12,120
"2775","T1",2023-11-26,"Antalyaspor","Rizespor",0,0,"D",0,0,"D",1.86,3.7,4.5,"0-0","0-0",16,10,8,3,1,5,0,0,6,4,12,17,0,10,29,"6-4","N","N","N",6,0,0,60,500,0,600,0,0
"2783","T1",2023-12-02,"Rizespor","Buyuksehyr",3,2,"H",2,2,"D",2.5,3.34,3.05,"2-2","3-2",19,7,16,9,2,3,0,0,6,5,10,13,5,11,23,"6-5","Y","Y","Y",5,0,5,50,600,250,550,55,2750
"2731","T1",2023-10-21,"Konyaspor","Pendikspor",1,2,"A",0,0,"D",1.78,3.82,4.82,"0-0","1-2",16,8,8,3,1,3,0,0,5,2,4,12,3,7,16,"5-2","Y","Y","N",4,0,3,40,300,120,280,21,840
"2742","T1",2023-10-28,"Ad. Demirspor","Konyaspor",3,0,"H",0,0,"D",1.7,4.34,4.69,"0-0","3-0",15,5,13,4,1,1,0,0,4,5,12,10,3,9,22,"4-5","Y","Y","N",2,0,3,20,100,60,180,27,540
"2755","T1",2023-11-05,"Konyaspor","Karagumruk",1,1,"D",0,0,"D",2.15,3.53,3.58,"0-0","1-1",10,3,9,2,2,4,0,0,2,8,13,19,2,10,32,"2-8","Y","N","N",6,0,2,60,800,120,600,20,1200
"2761","T1",2023-11-10,"Trabzonspor","Konyaspor",2,1,"H",0,0,"D",1.68,3.99,5.48,"0-0","2-1",13,5,13,3,1,3,0,0,6,4,16,14,3,10,30,"6-4","Y","Y","N",4,0,3,40,300,120,400,30,1200
"2772","T1",2023-11-25,"Konyaspor","Kasimpasa",2,0,"H",0,0,"D",2.01,3.71,3.82,"0-0","2-0",17,7,8,1,0,1,0,0,2,9,11,12,2,11,23,"2-9","Y","N","N",1,0,2,10,0,20,110,22,220
"2782","T1",2023-12-02,"Alanyaspor","Konyaspor",2,2,"D",2,1,"H",2.27,3.36,3.15,"2-1","2-2",19,5,13,6,2,2,0,0,4,6,10,20,4,10,30,"4-6","Y","Y","Y",4,0,4,40,400,160,400,40,1600
"13","T1",2023-12-02,"Alanyaspor","Konyaspor",2,2,"D",2,1,"H",2.27,3.36,3.15,"2-1","2-2",19,5,13,6,2,2,0,0,4,6,10,20,4,10,30,"4-6","Y","Y","Y",4,0,2.5,40,391.666666666667,105,374.166666666667,23.5,959.166666666667
