"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SC0",2024-04-13,"Celtic","St Mirren",3,0,"H",0,0,"D",1.19,7.8,13.34,"0-0","3-0",18,9,2,0,0,2,0,0,11,1,7,12,3,12,19,"11-1","Y","Y","N",2,0,"2024-04-13-Celtic-St Mirren","Steven McLean",3,198,20,0,60,240,36,2376,720,0,2,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,62,0,0,62,62,0,25,0,0,91
"2","SC0",2024-04-28,"St Mirren","Rangers",1,2,"A",1,1,"D",8.11,5.1,1.39,"1-1","1-2",12,5,20,6,1,1,0,0,4,8,12,12,3,12,24,"4-8","Y","Y","N",2,0,"2024-04-28-St Mirren-Rangers","Nick Walsh",3,111,20,100,60,240,36,1332,720,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,78,0,85,0,78,85,163,78,85,78,0,91
"3","SC0",2024-05-04,"Dundee","St Mirren",1,3,"A",0,1,"A",2.55,3.25,3.01,"0-1","1-3",10,4,12,7,2,1,0,0,4,8,8,9,4,12,17,"4-8","Y","Y","Y",3,0,"2024-05-04-Dundee-St Mirren","Matthew MacDermid",4,245,30,200,120,360,48,2940,1440,1,1,0,0,1,0,0,0,10,10,20,10,0,10,200,97,0,44,0,97,44,141,37,44,37,0,111
"4","SC0",2024-05-11,"St Mirren","Kilmarnock",0,1,"A",0,1,"A",2.78,3.04,2.91,"0-1","0-1",10,2,15,4,0,2,0,0,8,5,10,13,1,13,23,"8-5","N","N","N",2,0,"2024-05-11-St Mirren-Kilmarnock","Euan Anderson",1,37,20,0,20,260,13,481,260,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,155,0,0,155,155,0,70,0,0,64
"5","SC0",2024-05-15,"St Mirren","Hearts",2,2,"D",1,1,"D",2.78,3.35,2.67,"1-1","2-2",14,5,10,4,0,0,0,0,4,3,7,10,4,7,17,"4-3","Y","Y","Y",0,0,"2024-05-15-St Mirren-Hearts","William Collum",4,165,0,0,0,0,28,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"6","SC0",2024-05-18,"Celtic","St Mirren",3,2,"H",2,2,"D",1.22,7.12,12.08,"2-2","3-2",12,4,9,3,0,0,0,0,11,3,7,9,5,14,16,"11-3","Y","Y","Y",0,0,"2024-05-18-Celtic-St Mirren","Matthew MacDermid",5,177,0,0,0,0,70,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127
"7","SC0",2024-04-13,"Motherwell","Hibernian",1,1,"D",0,0,"D",2.75,3.54,2.59,"0-0","1-1",8,1,8,4,2,4,0,0,4,6,7,10,2,10,17,"4-6","Y","N","N",6,0,"2024-04-13-Motherwell-Hibernian","William Collum",2,159,60,800,120,600,20,1590,1200,1,1,0,0,1,3,0,0,10,10,20,10,30,40,800,101,0,174,0,101,174,275,45,15,15,1,100
"8","SC0",2024-04-27,"St Johnstone","Hibernian",1,3,"A",0,2,"A",4.18,3.47,1.97,"0-2","1-3",9,3,16,8,0,1,0,0,1,7,11,8,4,8,19,"1-7","Y","Y","Y",1,0,"2024-04-27-St Johnstone-Hibernian","David Munro",4,215,10,0,40,80,32,1720,320,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,11,0,0,11,11,0,11,0,0,89
"9","SC0",2024-05-04,"Ross County","Hibernian",2,1,"H",1,1,"D",3.64,3.77,2.02,"1-1","2-1",12,4,20,5,1,0,0,0,5,7,3,8,3,12,11,"5-7","Y","Y","N",1,0,"2024-05-04-Ross County-Hibernian","Don Robertson",3,124,10,0,30,120,36,1488,360,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,77,0,0,0,77,0,77,77,0,0,0,86
"10","SC0",2024-05-12,"Hibernian","Aberdeen",0,4,"A",0,2,"A",2.06,3.68,3.61,"0-2","0-4",16,4,16,4,2,1,0,0,8,3,13,5,4,11,18,"8-3","Y","Y","Y",3,0,"2024-05-12-Hibernian-Aberdeen","Grant Irvine",4,213,30,200,120,330,44,2343,1320,1,0,0,0,1,1,0,0,10,0,10,10,10,20,200,87,0,83,0,87,83,170,13,83,13,0,108
