"","i1_division","i1_teams","i1_avg_AG","i1_away_as","i1_away_ds","i1_totalgames_poiss"
"1","I1","Atalanta","0.94","1.773","0","no5"
"2","I1","Bologna","0.94","1.0638","1.3333","no5"
"3","I1","Cremonese","0.94","1.0638","1.5556","no5"
"4","I1","Empoli","0.94","1.0638","0.8889","no5"
"5","I1","Fiorentina","0.94","0","0.3333","no5"
"6","I1","Inter","0.94","1.773","1.5556","no5"
"7","I1","Juventus","0.94","0.5319","0.3333","no5"
"8","I1","Lazio","0.94","0.5319","0.3333","no5"
"9","I1","Lecce","0.94","0.3546","0.6667","no5"
"10","I1","Milan","0.94","0.5319","0.3333","no5"
"11","I1","Monza","0.94","0","2.3333","no5"
"12","I1","Napoli","0.94","2.4823","0.6667","no5"
"13","I1","Roma","0.94","0.7092","1.1111","no5"
"14","I1","Salernitana","0.94","0.5319","0.3333","no5"
"15","I1","Sampdoria","0.94","0.5319","2","no5"
"16","I1","Sassuolo","0.94","0.7092","1.1111","no5"
"17","I1","Spezia","0.94","0","1.6667","no5"
"18","I1","Torino","0.94","1.773","1.1111","no5"
"19","I1","Udinese","0.94","2.1277","1.6667","no5"
"20","I1","Verona","0.94","1.0638","0.6667","no5"
"21","I1","Atalanta","1.1","1.4545","0.2778","no10"
"22","I1","Bologna","1.1","0.9091","1.6667","no10"
"23","I1","Cremonese","1.1","1.0606","1.2731","no10"
"24","I1","Empoli","1.1","0.9091","0.6944","no10"
"25","I1","Fiorentina","1.1","0.3636","0.6944","no10"
"26","I1","Inter","1.1","1.4545","1.5278","no10"
"27","I1","Juventus","1.1","0.3636","0.5556","no10"
"28","I1","Lazio","1.1","2.0455","0.1736","no10"
"29","I1","Lecce","1.1","0.7273","0.8333","no10"
"30","I1","Milan","1.1","1.4545","0.5556","no10"
"31","I1","Monza","1.1","0.7273","1.25","no10"
"32","I1","Napoli","1.1","2.3636","0.6944","no10"
"33","I1","Roma","1.1","1.0606","0.8102","no10"
"34","I1","Salernitana","1.1","0.5455","1.3889","no10"
"35","I1","Sampdoria","1.1","0.6818","1.5625","no10"
"36","I1","Sassuolo","1.1","0.7273","0.9722","no10"
"37","I1","Spezia","1.1","0","1.6667","no10"
"38","I1","Torino","1.1","1.0909","1.25","no10"
"39","I1","Udinese","1.1","1.6364","0.9722","no10"
"40","I1","Verona","1.1","0.5455","1.1111","no10"
"41","I1","Atalanta","1.0867","1.4461","0.3827","no15"
"42","I1","Bologna","1.0867","1.0517","1.8176","no15"
"43","I1","Cremonese","1.0867","1.0352","1.2556","no15"
"44","I1","Empoli","1.0867","0.6573","1.0523","no15"
"45","I1","Fiorentina","1.0867","0.8052","0.6697","no15"
"46","I1","Inter","1.0867","1.7254","1.5067","no15"
"47","I1","Juventus","1.0867","0.5258","0.3827","no15"
"48","I1","Lazio","1.0867","1.5775","0.3827","no15"
"49","I1","Lecce","1.0867","0.8052","0.7534","no15"
"50","I1","Milan","1.0867","1.1831","0.574","no15"
"51","I1","Monza","1.0867","0.6573","1.3393","no15"
"52","I1","Napoli","1.0867","2.1034","0.574","no15"
"53","I1","Roma","1.0867","1.2653","0.7534","no15"
"54","I1","Salernitana","1.0867","0.8052","1.3393","no15"
"55","I1","Sampdoria","1.0867","0.5258","1.3393","no15"
"56","I1","Sassuolo","1.0867","0.4601","1.2556","no15"
"57","I1","Spezia","1.0867","0.3451","1.3393","no15"
"58","I1","Torino","1.0867","1.1503","1.0882","no15"
"59","I1","Udinese","1.0867","1.3803","0.9208","no15"
"60","I1","Verona","1.0867","0.5258","1.148","no15"
