"","x"
"1","Anderlecht,3,1,0,1,1,2,0,1,2,1,2,2,2,2,1,1,2,0,0,2,0,1,0,2,1,1,1,0,0,0,1,(33)       "
"2","Antwerp,3,1,2,1,2,0,1,2,1,0,2,1,0,0,2,0,0,3,2,1,0,1,1,0,0,2,0,2,4,1,2,(37)          "
"3","Beerschot VA,1,2,3,1,3,5,1,3,3,0,1,4,0,1,0,2,1,1,2,7,4,1,2,3,3,1,2,3,1,2,2,(65)     "
"4","Cercle Brugge,0,1,1,2,2,1,2,2,2,3,2,1,1,1,2,1,0,1,0,3,0,0,1,0,1,1,3,0,2,2,0,(38)    "
"5","Charleroi,0,0,1,1,2,2,2,1,2,2,0,1,0,4,1,3,0,0,4,0,3,3,0,1,0,0,2,3,2,0,2,(42)        "
"6","Club Brugge,2,0,1,0,2,6,0,0,1,1,0,1,1,2,2,2,2,0,1,2,2,0,2,0,0,2,0,1,1,0,1,(35)      "
"7","Eupen,2,1,1,1,1,2,1,1,0,2,2,3,3,1,1,2,2,0,4,4,2,2,1,2,0,4,1,3,0,1,3,(53)            "
"8","Genk,1,4,1,0,0,1,1,4,0,3,2,3,2,1,2,3,1,1,2,1,0,1,2,0,2,0,1,2,0,2,1,(44)             "
"9","Gent,2,2,1,0,1,3,1,1,1,1,0,0,2,0,1,1,0,0,4,1,0,2,0,1,1,1,0,0,0,1,0,(28)             "
"10","Kortrijk,0,0,2,2,0,2,2,0,2,2,2,0,1,1,1,2,2,1,0,0,2,1,1,1,2,3,2,0,2,3,2,(41)         "
"11","Mechelen,2,1,3,2,1,2,7,0,0,1,0,2,2,1,1,3,1,2,3,3,0,1,1,2,0,4,1,2,1,2,(51)           "
"12","Oostende,3,3,0,2,1,2,3,1,2,1,1,1,4,1,7,3,1,1,2,0,4,2,1,0,3,0,3,0,0,3,3,(58)         "
"13","Oud-Heverlee Leuven,1,1,1,4,4,2,1,2,1,0,2,1,2,0,3,1,1,2,4,1,0,3,1,1,1,2,2,0,3,4,(51)"
"14","Seraing,2,0,3,3,1,1,1,2,3,1,4,3,3,0,1,0,3,5,2,2,2,4,3,1,0,2,1,4,1,5,0,(63)          "
"15","St Truiden,1,0,3,2,2,0,0,2,1,1,2,4,2,0,1,2,2,2,2,2,0,2,1,1,1,1,0,0,0,1,0,(38)       "
"16","St. Gilloise,1,1,0,0,3,0,1,1,2,0,2,2,0,0,1,3,1,0,0,2,0,0,1,0,0,0,1,0,0,2,1,(25)     "
"17","Standard,1,1,5,0,0,4,0,1,2,3,2,1,1,2,0,3,3,2,2,1,1,2,0,2,1,2,1,1,0,0,1,(45)         "
"18","Waregem,1,2,1,4,2,0,4,2,2,5,1,2,6,1,2,0,3,3,2,2,0,3,1,3,2,0,2,5,0,2,0,(63)          "
