"","final_first_column_e2","final_second_column_e2"
"1","Accrington","Exeter"
"2","Accrington","Exeter"
"3","Accrington","Exeter"
"4","Accrington","Exeter"
"5","Accrington","Exeter"
"6","Exeter","Accrington"
"7","Exeter","Accrington"
"8","Exeter","Accrington"
"9","Exeter","Accrington"
"10","Exeter","Accrington"
"11","Bristol Rvs","Shrewsbury"
"12","Bristol Rvs","Shrewsbury"
"13","Bristol Rvs","Shrewsbury"
"14","Bristol Rvs","Shrewsbury"
"15","Bristol Rvs","Shrewsbury"
"16","Shrewsbury","Bristol Rvs"
"17","Shrewsbury","Bristol Rvs"
"18","Shrewsbury","Bristol Rvs"
"19","Shrewsbury","Bristol Rvs"
"20","Shrewsbury","Bristol Rvs"
"21","Cambridge","Burton"
"22","Cambridge","Burton"
"23","Cambridge","Burton"
"24","Cambridge","Burton"
"25","Cambridge","Burton"
"26","Burton","Cambridge"
"27","Burton","Cambridge"
"28","Burton","Cambridge"
"29","Burton","Cambridge"
"30","Burton","Cambridge"
"31","Cheltenham","Oxford"
"32","Cheltenham","Oxford"
"33","Cheltenham","Oxford"
"34","Cheltenham","Oxford"
"35","Cheltenham","Oxford"
"36","Oxford","Cheltenham"
"37","Oxford","Cheltenham"
"38","Oxford","Cheltenham"
"39","Oxford","Cheltenham"
"40","Oxford","Cheltenham"
"41","Derby","Peterborough"
"42","Derby","Peterborough"
"43","Derby","Peterborough"
"44","Derby","Peterborough"
"45","Derby","Peterborough"
"46","Peterborough","Derby"
"47","Peterborough","Derby"
"48","Peterborough","Derby"
"49","Peterborough","Derby"
"50","Peterborough","Derby"
"51","Ipswich","Barnsley"
"52","Ipswich","Barnsley"
"53","Ipswich","Barnsley"
"54","Ipswich","Barnsley"
"55","Ipswich","Barnsley"
"56","Barnsley","Ipswich"
"57","Barnsley","Ipswich"
"58","Barnsley","Ipswich"
"59","Barnsley","Ipswich"
"60","Barnsley","Ipswich"
"61","Lincoln","Fleetwood Town"
"62","Lincoln","Fleetwood Town"
"63","Lincoln","Fleetwood Town"
"64","Lincoln","Fleetwood Town"
"65","Lincoln","Fleetwood Town"
"66","Fleetwood Town","Lincoln"
"67","Fleetwood Town","Lincoln"
"68","Fleetwood Town","Lincoln"
"69","Fleetwood Town","Lincoln"
"70","Fleetwood Town","Lincoln"
"71","Morecambe","Milton Keynes Dons"
"72","Morecambe","Milton Keynes Dons"
"73","Morecambe","Milton Keynes Dons"
"74","Morecambe","Milton Keynes Dons"
"75","Morecambe","Milton Keynes Dons"
"76","Milton Keynes Dons","Morecambe"
"77","Milton Keynes Dons","Morecambe"
"78","Milton Keynes Dons","Morecambe"
"79","Milton Keynes Dons","Morecambe"
"80","Milton Keynes Dons","Morecambe"
"81","Plymouth","Bolton"
"82","Plymouth","Bolton"
"83","Plymouth","Bolton"
"84","Plymouth","Bolton"
"85","Plymouth","Bolton"
"86","Bolton","Plymouth"
"87","Bolton","Plymouth"
"88","Bolton","Plymouth"
"89","Bolton","Plymouth"
"90","Bolton","Plymouth"
"91","Port Vale","Portsmouth"
"92","Port Vale","Portsmouth"
"93","Port Vale","Portsmouth"
"94","Port Vale","Portsmouth"
"95","Port Vale","Portsmouth"
"96","Portsmouth","Port Vale"
"97","Portsmouth","Port Vale"
"98","Portsmouth","Port Vale"
"99","Portsmouth","Port Vale"
"100","Portsmouth","Port Vale"
"101","Sheffield Weds","Forest Green"
"102","Sheffield Weds","Forest Green"
"103","Sheffield Weds","Forest Green"
"104","Sheffield Weds","Forest Green"
"105","Sheffield Weds","Forest Green"
"106","Forest Green","Sheffield Weds"
"107","Forest Green","Sheffield Weds"
"108","Forest Green","Sheffield Weds"
"109","Forest Green","Sheffield Weds"
"110","Forest Green","Sheffield Weds"
"111","Wycombe","Charlton"
"112","Wycombe","Charlton"
"113","Wycombe","Charlton"
"114","Wycombe","Charlton"
"115","Wycombe","Charlton"
"116","Charlton","Wycombe"
"117","Charlton","Wycombe"
"118","Charlton","Wycombe"
"119","Charlton","Wycombe"
"120","Charlton","Wycombe"
