"","Div","Home_Team","Away_Team","Date"
"262","B1","Antwerp","Charleroi",2023-03-18
"263","B1","Cercle Brugge","Genk",2023-03-18
"264","B1","Gent","Eupen",2023-03-18
"265","B1","Kortrijk","Club Brugge",2023-03-18
"266","B1","Oud-Heverlee Leuven","Anderlecht",2023-03-18
"267","B1","Oostende","Westerlo",2023-03-18
"268","B1","St. Gilloise","Mechelen",2023-03-18
"269","B1","Standard","Waregem",2023-03-18
"270","B1","St Truiden","Seraing",2023-03-18
"523","D1","Augsburg","Schalke 04",2023-03-18
"524","D1","Mgladbach","Werder Bremen",2023-03-18
"525","D1","Leverkusen","Bayern Munich",2023-03-18
"526","D1","Bochum","RB Leipzig",2023-03-18
"527","D1","Dortmund","FC Koln",2023-03-18
"528","D1","Hoffenheim","Hertha",2023-03-18
"529","D1","Mainz","Freiburg",2023-03-18
"530","D1","Stuttgart","Wolfsburg",2023-03-18
"531","D1","Union Berlin","Ein Frankfurt",2023-03-18
"829","D2","Bielefeld","Nurnberg",2023-03-18
"830","D2","Braunschweig","Hannover",2023-03-18
"831","D2","Darmstadt","Kaiserslautern",2023-03-18
"832","D2","Greuther Furth","Magdeburg",2023-03-18
"833","D2","Hamburg","Holstein Kiel",2023-03-18
"834","D2","Hansa Rostock","Fortuna Dusseldorf",2023-03-18
"835","D2","Heidenheim","Karlsruhe",2023-03-18
"836","D2","Regensburg","Paderborn",2023-03-18
"837","D2","Sandhausen","St Pauli",2023-03-18
"1189","E0","Arsenal","Crystal Palace",2023-03-18
"1190","E0","Aston Villa","Bournemouth",2023-03-18
"1191","E0","Brentford","Leicester",2023-03-18
"1192","E0","Brighton","Man United",2023-03-18
"1193","E0","Chelsea","Everton",2023-03-18
"1194","E0","Liverpool","Fulham",2023-03-18
"1195","E0","Man City","West Ham",2023-03-18
"1196","E0","Nottm Forest","Newcastle",2023-03-18
"1197","E0","Southampton","Tottenham",2023-03-18
"1198","E0","Wolves","Leeds",2023-03-18
"1743","E1","Blackburn","Burnley",2023-03-18
"1744","E1","Blackpool","Coventry",2023-03-18
"1745","E1","Middlesbrough","Preston",2023-03-18
"1746","E1","Millwall","Huddersfield",2023-03-18
"1747","E1","QPR","Birmingham",2023-03-18
