"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","total_goals","OV25"
"1","B1",NA,NA,NA,1.49819494584838,1.3826714801444,NA,0.642599277978339,0.570397111913357,NA,33.1241877256318,4.01675090252708,3.93425992779783,NA,NA,13.0252707581227,4.65342960288809,11.85559566787,4.17689530685921,2.88086642599278,NA
"2","D1",NA,NA,NA,1.61965811965812,1.4017094017094,NA,0.700854700854701,0.636752136752137,NA,35.7299145299145,4.38918803418803,4.28606837606838,NA,NA,12.6068376068376,4.82051282051282,11.8076923076923,4.44017094017094,3.02136752136752,NA
"3","D2",NA,NA,NA,1.56086956521739,1.26521739130435,NA,0.669565217391304,0.582608695652174,NA,NA,NA,NA,NA,NA,13.2260869565217,4.93913043478261,11.8173913043478,4.32173913043478,2.82608695652174,NA
"4","E0",NA,NA,NA,1.32758620689655,1.28965517241379,NA,0.672413793103448,0.575862068965517,NA,34.3579310344828,4.15503448275862,4.36693103448276,NA,NA,12.3862068965517,4.41379310344828,11.0344827586207,4.00344827586207,2.61724137931034,NA
"5","E1",NA,NA,NA,1.20888888888889,1.02444444444444,NA,0.557777777777778,0.457777777777778,NA,NA,NA,NA,NA,NA,11.7066666666667,3.86222222222222,10.5333333333333,3.28444444444444,2.23333333333333,NA
"6","E2",NA,NA,NA,1.33410672853828,1.26682134570766,NA,0.624129930394432,0.621809744779582,NA,NA,NA,NA,NA,NA,12.0023201856148,4.01856148491879,10.9141531322506,3.73781902552204,2.60092807424594,NA
"7","E3",NA,NA,NA,1.28009259259259,1.11111111111111,NA,0.62037037037037,0.513888888888889,NA,32.6377314814815,3.46194444444444,3.31659722222222,NA,NA,11.7037037037037,3.9375,10.7569444444444,3.50231481481481,2.3912037037037,NA
"8","EC",NA,NA,NA,1.42990654205607,1.18691588785047,NA,0.654205607476635,0.554517133956386,NA,NA,NA,NA,NA,NA,0,0,0,0,2.61682242990654,NA
"9","F1",NA,NA,NA,1.36,1.33333333333333,NA,0.646666666666667,0.62,NA,NA,NA,NA,NA,NA,12.65,4.29,10.7966666666667,3.74,2.69333333333333,NA
"10","F2",NA,NA,NA,1.30872483221477,1.03020134228188,NA,0.557046979865772,0.426174496644295,NA,31.2251677852349,3.1701677852349,3.56852348993289,NA,NA,11.3590604026846,3.88255033557047,10.3926174496644,3.5738255033557,2.33892617449664,NA
"11","G1",NA,NA,NA,1.1957671957672,1.05820105820106,NA,0.433862433862434,0.492063492063492,NA,NA,NA,NA,NA,NA,7.75661375661376,3.98941798941799,6.83068783068783,3.55026455026455,2.25396825396825,NA
"12","I1",NA,NA,NA,1.59205776173285,1.40794223826715,NA,0.671480144404332,0.620938628158845,NA,NA,NA,NA,NA,NA,11.072202166065,5.5956678700361,9.86281588447653,4.88447653429603,3,NA
"13","I2",NA,NA,NA,1.23411371237458,1.09364548494983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32775919732441,NA
"14","N1",NA,NA,NA,1.62396694214876,1.42148760330579,NA,0.677685950413223,0.611570247933884,NA,34.4371900826446,4.68838842975207,4.91371900826446,NA,NA,13.4710743801653,4.99173553719008,12.1363636363636,4.39669421487603,3.04545454545455,NA
"15","P1",NA,NA,NA,1.25462962962963,1.10185185185185,NA,0.583333333333333,0.560185185185185,NA,NA,NA,NA,NA,NA,12.1157407407407,4.17592592592593,10.2916666666667,3.52314814814815,2.35648148148148,NA
"16","SC0",NA,NA,NA,1.24242424242424,1.15656565656566,NA,0.611111111111111,0.525252525252525,NA,NA,NA,NA,NA,NA,11.8686868686869,3.90909090909091,11.5656565656566,3.62121212121212,2.3989898989899,NA
"17","SC1",NA,NA,NA,1.54368932038835,1.28155339805825,NA,0.669902912621359,0.514563106796116,NA,35.0300970873786,3.9495145631068,3.78398058252427,NA,NA,10.0776699029126,4.29126213592233,8.77669902912621,3.9126213592233,2.8252427184466,NA
"18","SC2",NA,NA,NA,1.25454545454545,1.09090909090909,NA,0.636363636363636,0.454545454545455,NA,34.8745454545455,4.16254545454545,3.64218181818182,NA,NA,10.4727272727273,4.32727272727273,8.05454545454545,3.01818181818182,2.34545454545455,NA
"19","SC3",NA,NA,NA,1.46153846153846,1.38461538461538,NA,0.519230769230769,0.634615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84615384615385,NA
"20","SP1",NA,NA,NA,1.35357142857143,1.12857142857143,NA,0.610714285714286,0.525,NA,32.0753571428571,3.80478571428571,4.31532142857143,NA,NA,11.2928571428571,3.94642857142857,9.90357142857143,3.45357142857143,2.48214285714286,NA
"21","SP2",NA,NA,NA,1.17575757575758,0.848484848484849,NA,0.487878787878788,0.345454545454545,NA,NA,NA,NA,NA,NA,10.3848484848485,3.5,9.5030303030303,3.11515151515152,2.02424242424242,NA
"22","T1",NA,NA,NA,1.47741935483871,1.1741935483871,NA,0.645161290322581,0.490322580645161,NA,32.2941935483871,3.71564516129032,3.74151612903226,NA,NA,12.5741935483871,4.69354838709677,10.7096774193548,3.85161290322581,2.65161290322581,NA
